Tanggal,Produk,Ulasan,label,Cleaning,Tokenizing,Normalisasi,Stopword,Stemming,text
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"barangnya bagus,  desainnya keren,  tenaga motor mesinnya mantap",1,barangnya bagus desainnya keren tenaga motor mesinnya mantap,"['barangnya', 'bagus', 'desainnya', 'keren', 'tenaga', 'motor', 'mesinnya', 'mantap']","['barangnya', 'bagus', 'desainnya', 'keren', 'tenaga', 'motor', 'mesinnya', 'mantap']","['barangnya', 'bagus', 'desainnya', 'keren', 'tenaga', 'mesinnya', 'mantap']","['barang', 'bagus', 'desain', 'keren', 'tenaga', 'mesin', 'mantap']",barang bagus desain keren tenaga mesin mantap
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,"respon cepat,  produk bagus.  recommended 👍👍👍",1,respon cepat produk bagus recommended,"['respon', 'cepat', 'produk', 'bagus', 'recommended']","['respon', 'cepat', 'produk', 'bagus', 'recommended']","['respon', 'cepat', 'produk', 'bagus', 'recommended']","['respon', 'cepat', 'produk', 'bagus', 'recommended']",respon cepat produk bagus recommended
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,sangat membantu untuk menstrilkan botol susu bayi,1,sangat membantu untuk menstrilkan botol susu bayi,"['sangat', 'membantu', 'untuk', 'menstrilkan', 'botol', 'susu', 'bayi']","['sangat', 'membantu', 'untuk', 'menstrilkan', 'botol', 'susu', 'bayi']","['membantu', 'menstrilkan', 'botol', 'bayi']","['bantu', 'menstrilkan', 'botol', 'bayi']",bantu menstrilkan botol bayi
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,terimakasih. . . . . ,1,terimakasih,['terimakasih'],['terimakasih'],['terimakasih'],['terimakasih'],terimakasih
1 bulan lalu,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,"respon cs kurang memuaskan. . agak lama balasnya. . 
proses pemesanan jg harus tunggu waktu masuk kerja. . padahal balas chat ttp berjalan. . . kan bs y di accept dl. . kirim setela. . .  ",1,respon cs kurang memuaskan agak lama balasnya proses pemesanan jg harus tunggu waktu masuk kerja padahal balas chat ttp berjalan kan bs di accept dl kirim setela,"['respon', 'cs', 'kurang', 'memuaskan', 'agak', 'lama', 'balasnya', 'proses', 'pemesanan', 'jg', 'harus', 'tunggu', 'waktu', 'masuk', 'kerja', 'padahal', 'balas', 'chat', 'ttp', 'berjalan', 'kan', 'bs', 'di', 'accept', 'dl', 'kirim', 'setela']","['respon', 'cs', 'kurang', 'memuaskan', 'agak', 'lama', 'balasnya', 'proses', 'pemesanan', 'juga', 'harus', 'tunggu', 'waktu', 'masuk', 'kerja', 'padahal', 'balas', 'chat', 'tetap', 'berjalan', 'kan', 'bisa', 'di', 'accept', 'dulu', 'kirim', 'setela']","['respon', 'cs', 'memuaskan', 'balasnya', 'proses', 'pemesanan', 'tunggu', 'masuk', 'kerja', 'berjalan', 'kirim', 'setela']","['respon', 'cs', 'muas', 'balas', 'proses', 'mesan', 'tunggu', 'masuk', 'kerja', 'jalan', 'kirim', 'setela']",respon cs muas balas proses mesan tunggu masuk kerja jalan kirim setela
1 bulan lalu,Sanken HWD-Z96 Water Dispenser Duo gallon,mantab,1,mantab,['mantab'],['mantab'],['mantab'],['mantab'],mantab
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,luar biasa pelayanannya,1,luar biasa pelayanannya,"['luar', 'biasa', 'pelayanannya']","['luar', 'biasa', 'pelayanannya']",['pelayanannya'],['layan'],layan
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,krn kurir toko.  jd aman.  tp lama bgt nunggu jadwalny,1,krn kurir toko jd aman tp lama bgt nunggu jadwalny,"['krn', 'kurir', 'toko', 'jd', 'aman', 'tp', 'lama', 'bgt', 'nunggu', 'jadwalny']","['karena', 'kurir', 'toko', 'jadi', 'aman', 'tapi', 'lama', 'banget', 'menunggu', 'jadwalny']","['kurir', 'aman', 'banget', 'menunggu', 'jadwalny']","['kurir', 'aman', 'banget', 'tunggu', 'jadwalny']",kurir aman banget tunggu jadwalny
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"mantap

bagus",1,mantap bagus,"['mantap', 'bagus']","['mantap', 'bagus']","['mantap', 'bagus']","['mantap', 'bagus']",mantap bagus
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,buat kado.  tmn ku seneng.  pengirimannya cpt krn pake instan dan aman. .  respon admin cukup baik aku nny2 sbar jawabnya.  terima kasih,1,buat kado tmn ku seneng pengirimannya cpt krn pake instan dan aman respon admin cukup baik aku nny sbar jawabnya terima kasih,"['buat', 'kado', 'tmn', 'ku', 'seneng', 'pengirimannya', 'cpt', 'krn', 'pake', 'instan', 'dan', 'aman', 'respon', 'admin', 'cukup', 'baik', 'aku', 'nny', 'sbar', 'jawabnya', 'terima', 'kasih']","['buat', 'kado', 'teman', 'ku', 'senang', 'pengirimannya', 'cepat', 'karena', 'pakai', 'instan', 'dan', 'aman', 'respon', 'admin', 'cukup', 'baik', 'aku', 'nny', 'sbar', 'jawabnya', 'terima', 'kasih']","['kado', 'ku', 'senang', 'pengirimannya', 'cepat', 'pakai', 'instan', 'aman', 'respon', 'admin', 'nny', 'sbar', 'terima', 'kasih']","['kado', 'ku', 'senang', 'kirim', 'cepat', 'pakai', 'instan', 'aman', 'respon', 'admin', 'nny', 'sbar', 'terima', 'kasih']",kado ku senang kirim cepat pakai instan aman respon admin nny sbar terima kasih
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,barangnya okay . . . cuma barangnya agak lama sampainya. ,1,barangnya okay cuma barangnya agak lama sampainya,"['barangnya', 'okay', 'cuma', 'barangnya', 'agak', 'lama', 'sampainya']","['barangnya', 'okay', 'cuma', 'barangnya', 'agak', 'lama', 'sampainya']","['barangnya', 'okay', 'barangnya', 'sampainya']","['barang', 'okay', 'barang', 'sampai']",barang okay barang sampai
1 bulan lalu,Sanken Microwave MO-200BK 20 Liter Hitam,piring kaca tidak dikemas dengan baik.  akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,0,piring kaca tidak dikemas dengan baik akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,"['piring', 'kaca', 'tidak', 'dikemas', 'dengan', 'baik', 'akibatnya', 'piring', 'microwave', 'pecah', 'dalam', 'pengiriman', 'lalu', 'kemudian', 'klaim', 'asuransi', 'lama', 'sekali', 'tidak', 'sesuai', 'jadwal']","['piring', 'kaca', 'tidak', 'dikemas', 'dengan', 'baik', 'akibatnya', 'piring', 'microwave', 'pecah', 'dalam', 'pengiriman', 'lalu', 'kemudian', 'klaim', 'asuransi', 'lama', 'sekali', 'tidak', 'sesuai', 'jadwal']","['piring', 'kaca', 'tidak', 'dikemas', 'akibatnya', 'piring', 'pecah', 'pengiriman', 'klaim', 'asuransi', 'tidak', 'sesuai', 'jadwal']","['piring', 'kaca', 'tidak', 'kemas', 'akibat', 'piring', 'pecah', 'kirim', 'klaim', 'asuransi', 'tidak', 'sesuai', 'jadwal']",piring kaca tidak kemas akibat piring pecah kirim klaim asuransi tidak sesuai jadwal
1 bulan lalu,Sanken SJ-130H Magic Com 1L - Black,"sesuai pesanan,  diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus).  semoga kompor dan rice cooker sanken kualitasnya ok da. . .  ",1,sesuai pesanan diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan tak ada penyok di kardus semoga kompor dan rice cooker sanken kualitasnya ok da,"['sesuai', 'pesanan', 'diantarkan', 'on', 'time', 'dan', 'dijaga', 'dengan', 'baik', 'oleh', 'kurir', 'toko', 'hingga', 'tujuan', 'tak', 'ada', 'penyok', 'di', 'kardus', 'semoga', 'kompor', 'dan', 'rice', 'cooker', 'sanken', 'kualitasnya', 'ok', 'da']","['sesuai', 'pesanan', 'diantarkan', 'on', 'time', 'dahn', 'dijaga', 'dengan', 'baik', 'oleh', 'kurir', 'toko', 'hingga', 'tujuan', 'tak', 'adah', 'penyok', 'di', 'kardus', 'semoga', 'kompor', 'dahn', 'rice', 'cooker', 'sanken', 'kualitasnya', 'ok', 'dah']","['sesuai', 'pesanan', 'diantarkan', 'dahn', 'dijaga', 'kurir', 'tujuan', 'adah', 'penyok', 'kardus', 'semoga', 'kompor', 'dahn', 'sanken', 'kualitasnya', 'ok']","['sesuai', 'pesan', 'antar', 'dahn', 'jaga', 'kurir', 'tuju', 'adah', 'penyok', 'kardus', 'moga', 'kompor', 'dahn', 'sanken', 'kualitas', 'ok']",sesuai pesan antar dahn jaga kurir tuju adah penyok kardus moga kompor dahn sanken kualitas ok
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,brg sesuai spek dan telah berfungsi dgn baik.  semoga awet. ,1,brg sesuai spek dan telah berfungsi dgn baik semoga awet,"['brg', 'sesuai', 'spek', 'dan', 'telah', 'berfungsi', 'dgn', 'baik', 'semoga', 'awet']","['bareng', 'sesuai', 'spek', 'dan', 'telah', 'berfungsi', 'dengan', 'baik', 'semoga', 'awet']","['bareng', 'sesuai', 'spek', 'berfungsi', 'semoga', 'awet']","['bareng', 'sesuai', 'spek', 'fungsi', 'moga', 'awet']",bareng sesuai spek fungsi moga awet
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,works just fine.  hisapan kuat.  mantap,1,works just fine hisapan kuat mantap,"['works', 'just', 'fine', 'hisapan', 'kuat', 'mantap']","['works', 'just', 'fine', 'hisapan', 'kuat', 'mantap']","['hisapan', 'kuat', 'mantap']","['hisapan', 'kuat', 'mantap']",hisapan kuat mantap
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,"original brand nya sudah di coba dan berfungsi dengan baik.  sudah di coba,  sesuai dengan deskripsi nya",1,original brand nya sudah di coba dan berfungsi dengan baik sudah di coba sesuai dengan deskripsi nya,"['original', 'brand', 'nya', 'sudah', 'di', 'coba', 'dan', 'berfungsi', 'dengan', 'baik', 'sudah', 'di', 'coba', 'sesuai', 'dengan', 'deskripsi', 'nya']","['original', 'brand', 'nya', 'sudah', 'di', 'coba', 'dan', 'berfungsi', 'dengan', 'baik', 'sudah', 'di', 'coba', 'sesuai', 'dengan', 'deskripsi', 'nya']","['nya', 'coba', 'berfungsi', 'coba', 'sesuai', 'deskripsi', 'nya']","['nya', 'coba', 'fungsi', 'coba', 'sesuai', 'deskripsi', 'nya']",nya coba fungsi coba sesuai deskripsi nya
1 bulan lalu,Dispenser Sanken Galon Bawah DB-20G Dispenser Bottom Loading,engga tau qanya gimana sebelum di kirim.  tapi saat mau di pakai langsung bocor.  hubungin sales langsung di arahkan ke service center.  kasih bintang 3 karena service cente. . .  ,0,engga tau qanya gimana sebelum di kirim tapi saat mau di pakai langsung bocor hubungin sales langsung di arahkan ke service center kasih bintang karena service cente,"['engga', 'tau', 'qanya', 'gimana', 'sebelum', 'di', 'kirim', 'tapi', 'saat', 'mau', 'di', 'pakai', 'langsung', 'bocor', 'hubungin', 'sales', 'langsung', 'di', 'arahkan', 'ke', 'service', 'center', 'kasih', 'bintang', 'karena', 'service', 'cente']","['enggak', 'tau', 'qanya', 'bagaimana', 'sebelum', 'di', 'kirim', 'tapi', 'saat', 'mau', 'di', 'pakai', 'langsung', 'bocor', 'hubungin', 'sales', 'langsung', 'di', 'arahkan', 'ke', 'service', 'center', 'kasih', 'bintang', 'karena', 'service', 'cente']","['enggak', 'qanya', 'kirim', 'pakai', 'langsung', 'bocor', 'hubungin', 'sales', 'langsung', 'arahkan', 'kasih', 'bintang', 'cente']","['enggak', 'qanya', 'kirim', 'pakai', 'langsung', 'bocor', 'hubungin', 'sales', 'langsung', 'arah', 'kasih', 'bintang', 'cente']",enggak qanya kirim pakai langsung bocor hubungin sales langsung arah kasih bintang cente
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"barang baik,  pengiriman dan respon cepat.  mantab. . . ",1,barang baik pengiriman dan respon cepat mantab,"['barang', 'baik', 'pengiriman', 'dan', 'respon', 'cepat', 'mantab']","['barang', 'baik', 'pengiriman', 'dan', 'respon', 'cepat', 'mantab']","['barang', 'pengiriman', 'respon', 'cepat', 'mantab']","['barang', 'kirim', 'respon', 'cepat', 'mantab']",barang kirim respon cepat mantab
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,"alhamdulillaah barabg sdh sampe dgn aman,  masyaalloh tabarokalloh,  bagus,  mulus, tanpa lecet,  barang original sanken,  untuk tombol panas,  normal,  dingin semua berfungsi dg. . .  ",1,alhamdulillaah barabg sdh sampe dgn aman masyaalloh tabarokalloh bagus mulus tanpa lecet barang original sanken untuk tombol panas normal dingin semua berfungsi dg,"['alhamdulillaah', 'barabg', 'sdh', 'sampe', 'dgn', 'aman', 'masyaalloh', 'tabarokalloh', 'bagus', 'mulus', 'tanpa', 'lecet', 'barang', 'original', 'sanken', 'untuk', 'tombol', 'panas', 'normal', 'dingin', 'semua', 'berfungsi', 'dg']","['alhamdulillaah', 'barabg', 'sudah', 'sampai', 'dengan', 'aman', 'masyaalloh', 'tabarokalloh', 'bagus', 'mulus', 'tanpa', 'lecet', 'barang', 'original', 'sanken', 'untuk', 'tombol', 'panas', 'normal', 'dingin', 'semua', 'berfungsi', 'dengan']","['alhamdulillaah', 'barabg', 'aman', 'masyaalloh', 'tabarokalloh', 'bagus', 'mulus', 'lecet', 'barang', 'sanken', 'tombol', 'panas', 'dingin', 'berfungsi']","['alhamdulillaah', 'barabg', 'aman', 'masyaalloh', 'tabarokalloh', 'bagus', 'mulus', 'lecet', 'barang', 'sanken', 'tombol', 'panas', 'dingin', 'fungsi']",alhamdulillaah barabg aman masyaalloh tabarokalloh bagus mulus lecet barang sanken tombol panas dingin fungsi
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,"sudah dicoba aman berfungsi
pengiriman cepat",1,sudah dicoba aman berfungsi pengiriman cepat,"['sudah', 'dicoba', 'aman', 'berfungsi', 'pengiriman', 'cepat']","['sudah', 'dicoba', 'aman', 'berfungsi', 'pengiriman', 'cepat']","['dicoba', 'aman', 'berfungsi', 'pengiriman', 'cepat']","['coba', 'aman', 'fungsi', 'kirim', 'cepat']",coba aman fungsi kirim cepat
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"barang oroginal,  berfungsi baik,  sudah di pakai cuci mantap. . .  pengiriman cepat. . .  👍👍👍",1,barang oroginal berfungsi baik sudah di pakai cuci mantap pengiriman cepat,"['barang', 'oroginal', 'berfungsi', 'baik', 'sudah', 'di', 'pakai', 'cuci', 'mantap', 'pengiriman', 'cepat']","['barang', 'oroginal', 'berfungsi', 'baik', 'sudah', 'di', 'pakai', 'cuci', 'mantap', 'pengiriman', 'cepat']","['barang', 'oroginal', 'berfungsi', 'pakai', 'cuci', 'mantap', 'pengiriman', 'cepat']","['barang', 'oroginal', 'fungsi', 'pakai', 'cuci', 'mantap', 'kirim', 'cepat']",barang oroginal fungsi pakai cuci mantap kirim cepat
1 bulan lalu,Sanken SJ-2500BK Magic Com 1.8L Hitam,barang orinal jadi dapat garansi. . .  mantap,1,barang orinal jadi dapat garansi mantap,"['barang', 'orinal', 'jadi', 'dapat', 'garansi', 'mantap']","['barang', 'orinal', 'jadi', 'dapat', 'garansi', 'mantap']","['barang', 'orinal', 'garansi', 'mantap']","['barang', 'orinal', 'garansi', 'mantap']",barang orinal garansi mantap
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,"respond cepat,  qualitas sesuai harga",1,respond cepat qualitas sesuai harga,"['respond', 'cepat', 'qualitas', 'sesuai', 'harga']","['respond', 'cepat', 'qualitas', 'sesuai', 'harga']","['cepat', 'qualitas', 'sesuai', 'harga']","['cepat', 'qualitas', 'sesuai', 'harga']",cepat qualitas sesuai harga
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,"despenser sesuai pesanan,  bahan berkualitas,  dinginnya joss dan panasnya pas buat bikin kopi dan seduh pop mie",1,despenser sesuai pesanan bahan berkualitas dinginnya joss dan panasnya pas buat bikin kopi dan seduh pop mie,"['despenser', 'sesuai', 'pesanan', 'bahan', 'berkualitas', 'dinginnya', 'joss', 'dan', 'panasnya', 'pas', 'buat', 'bikin', 'kopi', 'dan', 'seduh', 'pop', 'mie']","['despenser', 'sesuai', 'pesanan', 'bahan', 'berkualitas', 'dinginnya', 'joss', 'dan', 'panasnya', 'pas', 'buat', 'bikin', 'kopi', 'dan', 'seduh', 'pop', 'mie']","['despenser', 'sesuai', 'pesanan', 'berkualitas', 'dinginnya', 'panasnya', 'pas', 'bikin', 'seduh', 'mie']","['despenser', 'sesuai', 'pesan', 'kualitas', 'dingin', 'panas', 'pas', 'bikin', 'seduh', 'mie']",despenser sesuai pesan kualitas dingin panas pas bikin seduh mie
1 bulan lalu,Dispenser Sanken Galon Bawah HWD-C555IC Dispenser Bottom Loading,"barang bagus,  pengiriman cepat,  sesuai deskripsi.  belum di coba sih",1,barang bagus pengiriman cepat sesuai deskripsi belum di coba sih,"['barang', 'bagus', 'pengiriman', 'cepat', 'sesuai', 'deskripsi', 'belum', 'di', 'coba', 'sih']","['barang', 'bagus', 'pengiriman', 'cepat', 'sesuai', 'deskripsi', 'belum', 'di', 'coba', 'sih']","['barang', 'bagus', 'pengiriman', 'cepat', 'sesuai', 'deskripsi', 'coba', 'sih']","['barang', 'bagus', 'kirim', 'cepat', 'sesuai', 'deskripsi', 'coba', 'sih']",barang bagus kirim cepat sesuai deskripsi coba sih
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,pesan pakai instant di kirim pakai mobil.  fast respon,1,pesan pakai instant di kirim pakai mobil fast respon,"['pesan', 'pakai', 'instant', 'di', 'kirim', 'pakai', 'mobil', 'fast', 'respon']","['pesan', 'pakai', 'instant', 'di', 'kirim', 'pakai', 'mobil', 'fast', 'respon']","['pesan', 'pakai', 'kirim', 'pakai', 'mobil', 'respon']","['pesan', 'pakai', 'kirim', 'pakai', 'mobil', 'respon']",pesan pakai kirim pakai mobil respon
1 bulan lalu,Sanken SK-V231A-CB Kulkas 2 Pintu,"barang original,  pengiriman cepat,  garansi,   tidak lecet dan kualitas bagus!",1,barang original pengiriman cepat garansi tidak lecet dan kualitas bagus,"['barang', 'original', 'pengiriman', 'cepat', 'garansi', 'tidak', 'lecet', 'dan', 'kualitas', 'bagus']","['barang', 'original', 'pengiriman', 'cepat', 'garansi', 'tidak', 'lecet', 'dan', 'kualitas', 'bagus']","['barang', 'pengiriman', 'cepat', 'garansi', 'tidak', 'lecet', 'kualitas', 'bagus']","['barang', 'kirim', 'cepat', 'garansi', 'tidak', 'lecet', 'kualitas', 'bagus']",barang kirim cepat garansi tidak lecet kualitas bagus
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,mesin cuci berfungsi dengan baik. .  berkualitas. ,1,mesin cuci berfungsi dengan baik berkualitas,"['mesin', 'cuci', 'berfungsi', 'dengan', 'baik', 'berkualitas']","['mesin', 'cuci', 'berfungsi', 'dengan', 'baik', 'berkualitas']","['mesin', 'cuci', 'berfungsi', 'berkualitas']","['mesin', 'cuci', 'fungsi', 'kualitas']",mesin cuci fungsi kualitas
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,"sudah sampai,  makasih banyak,  semoga awet dah",1,sudah sampai makasih banyak semoga awet dah,"['sudah', 'sampai', 'makasih', 'banyak', 'semoga', 'awet', 'dah']","['sudeh', 'sampai', 'terima kasih', 'banyak', 'semoga', 'awet', 'deh']","['sudeh', 'terima kasih', 'semoga', 'awet', 'deh']","['sudeh', 'terima kasih', 'moga', 'awet', 'deh']",sudeh terima kasih moga awet deh
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"pengiriman cepat,  ready stock,  kondisi barang baik",1,pengiriman cepat ready stock kondisi barang baik,"['pengiriman', 'cepat', 'ready', 'stock', 'kondisi', 'barang', 'baik']","['pengiriman', 'cepat', 'ready', 'stock', 'kondisi', 'barang', 'baik']","['pengiriman', 'cepat', 'kondisi', 'barang']","['kirim', 'cepat', 'kondisi', 'barang']",kirim cepat kondisi barang
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,penjual sangat komunikatif dan solutif pada saat saya buru2 untuk pengiriman barang.  fast response. ,1,penjual sangat komunikatif dan solutif pada saat saya buru untuk pengiriman barang fast response,"['penjual', 'sangat', 'komunikatif', 'dan', 'solutif', 'pada', 'saat', 'saya', 'buru', 'untuk', 'pengiriman', 'barang', 'fast', 'response']","['penjual', 'sangat', 'komunikatif', 'dan', 'solutif', 'pada', 'saat', 'saya', 'buru', 'untuk', 'pengiriman', 'barang', 'fast', 'response']","['penjual', 'komunikatif', 'solutif', 'buru', 'pengiriman', 'barang']","['jual', 'komunikatif', 'solutif', 'buru', 'kirim', 'barang']",jual komunikatif solutif buru kirim barang
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,tatakan gelas terlepas. . .  mungkin next bisa di beri isolasi atau pengaman lain nya. . .  dan diberitahukan kepada kurir kalau posisi barang tidak bisa di bolak balik.  ini sa. . .  ,0,tatakan gelas terlepas mungkin next bisa di beri isolasi atau pengaman lain nya dan diberitahukan kepada kurir kalau posisi barang tidak bisa di bolak balik ini sa,"['tatakan', 'gelas', 'terlepas', 'mungkin', 'next', 'bisa', 'di', 'beri', 'isolasi', 'atau', 'pengaman', 'lain', 'nya', 'dan', 'diberitahukan', 'kepada', 'kurir', 'kalau', 'posisi', 'barang', 'tidak', 'bisa', 'di', 'bolak', 'balik', 'ini', 'sa']","['tatakan', 'gelas', 'terlepas', 'mungkin', 'next', 'bisa', 'di', 'beri', 'isolasi', 'atau', 'pengaman', 'lain', 'nya', 'dan', 'diberitahukan', 'kepada', 'kurir', 'kalau', 'posisi', 'barang', 'tidak', 'bisa', 'di', 'bolak', 'balik', 'ini', 'sa']","['tatakan', 'gelas', 'terlepas', 'isolasi', 'pengaman', 'nya', 'diberitahukan', 'kurir', 'posisi', 'barang', 'tidak', 'bolak']","['tata', 'gelas', 'lepas', 'isolasi', 'kam', 'nya', 'diberitahukan', 'kurir', 'posisi', 'barang', 'tidak', 'bolak']",tata gelas lepas isolasi kam nya diberitahukan kurir posisi barang tidak bolak
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,paketnya sudah sampe dan saya terima tapi pengirimannya bukan melalui kargo tapi lewat kurir motor mohon ke depannya diperhatikan lagi pengirimannya min untung kompresorn. . .  ,0,paketnya sudah sampe dan saya terima tapi pengirimannya bukan melalui kargo tapi lewat kurir motor mohon ke depannya diperhatikan lagi pengirimannya min untung kompresorn,"['paketnya', 'sudah', 'sampe', 'dan', 'saya', 'terima', 'tapi', 'pengirimannya', 'bukan', 'melalui', 'kargo', 'tapi', 'lewat', 'kurir', 'motor', 'mohon', 'ke', 'depannya', 'diperhatikan', 'lagi', 'pengirimannya', 'min', 'untung', 'kompresorn']","['paketnya', 'sudah', 'sampai', 'dan', 'saya', 'terima', 'tapi', 'pengirimannya', 'bukan', 'melalui', 'kargo', 'tapi', 'lewat', 'kurir', 'motor', 'mohon', 'ke', 'depannya', 'diperhatikan', 'lagi', 'pengirimannya', 'min', 'untung', 'kompresorn']","['paketnya', 'terima', 'pengirimannya', 'kargo', 'kurir', 'mohon', 'depannya', 'diperhatikan', 'pengirimannya', 'untung', 'kompresorn']","['paket', 'terima', 'kirim', 'kargo', 'kurir', 'mohon', 'depan', 'perhati', 'kirim', 'untung', 'kompresorn']",paket terima kirim kargo kurir mohon depan perhati kirim untung kompresorn
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,"so far aman,  secara fisik baik,  fungsi normal,  semoga awet dan mudah klaimnya jika ada masalah",1,so far aman secara fisik baik fungsi normal semoga awet dan mudah klaimnya jika ada masalah,"['so', 'far', 'aman', 'secara', 'fisik', 'baik', 'fungsi', 'normal', 'semoga', 'awet', 'dan', 'mudah', 'klaimnya', 'jika', 'ada', 'masalah']","['sok', 'far', 'aman', 'secara', 'fisik', 'baik', 'fungsi', 'normal', 'semoga', 'awet', 'dan', 'mudah', 'klaimnya', 'jika', 'ada', 'masalah']","['aman', 'fisik', 'fungsi', 'semoga', 'awet', 'mudah', 'klaimnya']","['aman', 'fisik', 'fungsi', 'moga', 'awet', 'mudah', 'klaim']",aman fisik fungsi moga awet mudah klaim
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,ok mantab,1,ok mantab,"['ok', 'mantab']","['ok', 'mantab']","['ok', 'mantab']","['ok', 'mantab']",ok mantab
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,kualitas barang baik,1,kualitas barang baik,"['kualitas', 'barang', 'baik']","['kualitas', 'barang', 'baik']","['kualitas', 'barang']","['kualitas', 'barang']",kualitas barang
1 bulan lalu,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,"brg ori,  garansi.  brg 👍👍,  toko jg 👍👍",1,brg ori garansi brg toko jg,"['brg', 'ori', 'garansi', 'brg', 'toko', 'jg']","['bareng', 'orisinal', 'garansi', 'bareng', 'toko', 'juga']","['bareng', 'orisinal', 'garansi', 'bareng']","['bareng', 'orisinal', 'garansi', 'bareng']",bareng orisinal garansi bareng
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,"barang sudah sampai sesuai estimasi. 
pengiriman sesuai estimasi waktu",1,barang sudah sampai sesuai estimasi pengiriman sesuai estimasi waktu,"['barang', 'sudah', 'sampai', 'sesuai', 'estimasi', 'pengiriman', 'sesuai', 'estimasi', 'waktu']","['barang', 'sudah', 'sampai', 'sesuai', 'estimasi', 'pengiriman', 'sesuai', 'estimasi', 'waktu']","['barang', 'sesuai', 'estimasi', 'pengiriman', 'sesuai', 'estimasi']","['barang', 'sesuai', 'estimasi', 'kirim', 'sesuai', 'estimasi']",barang sesuai estimasi kirim sesuai estimasi
1 bulan lalu,Sanken DD-68 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,"barang bagus,  pengiriman cepat. ",1,barang bagus pengiriman cepat,"['barang', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'kirim', 'cepat']",barang bagus kirim cepat
1 bulan lalu,Sanken SJ-3030BK Magic Com 2L - Black,ibu gw suka👍,1,ibu gw suka,"['ibu', 'gw', 'suka']","['ibu', 'gue', 'suka']",['suka'],['suka'],suka
