,Produk,Rating,Ulasan,Tanggal,label
403,POLYTRON Kulkas 2 Pintu Belleza JUMBO 220 Liter PRW 23MN,5,bagussw sukaa thanks ya,1 bulan lalu,1
404,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 8 KG PFL 8105,5,"sempat ada kendala,  tapi tim polytron gercep mendatangkan teknisi.  mantab",1 bulan lalu,1
405,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 10 KG PWM 1076,5,barang datang dengan selamat.  full ori mantap,1 bulan lalu,1
406,POLYTRON Kulkas Mini 50 liter PRH 51X,5,"mantap,  semoga awet",1 bulan lalu,1
407,Polytron AC Deluxe 2 1/2 PK PAC 05VH,1,"halo min, ,  kali ini saya kasih bintang 1 karena ac yg dibeli gak ada freon nya ya.  

solusi yg ditawarkan dr admin official polytron di  tokopedia yg mengharuskan saya me. . .  ",1 bulan lalu,1
408,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",4,"barang sesuai dengan deskripsi,  suaranya ngebass banget,  keren,  cuma pengiriman aja 1minggu agak lama",1 bulan lalu,1
409,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,5,"alhamdulillah sudah dicoba, berfungsi dengan baik. semoga produk awet dan untuk ekspedisi indah cargo, pengirimannya benar2 baik dan komunikatif. terimakasih sukses selalu",1 bulan lalu,1
410,POLYTRON Active Speaker PAS 8EF22,5,mantappp,1 bulan lalu,1
411,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,5,barang sampai dalam keadaan bagus,1 bulan lalu,1
412,POLYTRON Dispenser Galon Bawah PWC 615,5,sempat panik barangnya gk bisa dilacak karena gk ada estumasi tibanya tpi 4 hari setelah pembayaran barang datang. ,1 bulan lalu,1
413,POLYTRON Active Speaker PAS 8CF28,5,"mantap.  speakernya tidak ada kekurangannya.  semuanya bagus.  terimakasih seller,  terimakasih tokopedia,  terimakasih abang kurir.  🙏🙏🙏👍👍👍",1 bulan lalu,1
414,Polytron AC Neuva Pro 1/2 PK PAC 05VZ,5,"barang baru dan original,  free logistic sampai rumah beneran.  terimakasih rekomendasi",1 bulan lalu,1
415,POLYTRON Smart Cinemax Android TV 43 inch PLD 43TAG9959,5,trima kasih,1 bulan lalu,1
416,"POLYTRON Smart Android TV 43"" PLD 43AG9953",5,"murah pengiriman cepat 3 hari sampai jatim,  meskipun tgl merah tetap dianterrr emang toppp jnt cargoooo, ",1 bulan lalu,1
417,POLYTRON Showcase 280 Liter SCN 237,1,"pengalaman buruk pertama kali beli di official store brand ternama,  barang bermasalah tidak berfungsi,  rusak.  barang baru unboxing rusak,  bermasalah,  tidak berfungsi. 
krn. . .  ",1 bulan lalu,1
418,POLYTRON Professional Active Speaker PAS PRO15F3,5,bagus bangeettt,1 bulan lalu,1
419,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,5,terimakasih mbak. . . ,1 bulan lalu,1
420,POLYTRON Multimedia Speaker PMA 9527 /BA,1,ada bunyik kresek kresek,1 bulan lalu,1
421,POLYTRON Kulkas 1 Pintu Belleza 180 liter PRA 18,5,"barang bagus dan sesuai sma yg saya pesan,  tidak ada cacat atau kerusakan",1 bulan lalu,1
422,POLYTRON Active Speaker PAS 8EF28,5,puas sm polytron,1 bulan lalu,1
423,POLYTRON 4K UHD Smart Google TV 43 Inch PLD 43UG5959,5,"barang mantap di antar pas malem thn baru cuaca hujan cocok langsung di tes,  semoga awet jd gak perlu garansi 😀",1 bulan lalu,1
424,POLYTRON Kulkas Mini 50 liter PRH 51R,5,"barang sampai dengan selamat. .  
barang dapat digunakan dengan baik
terima kasih polytron. .  semoga makin jaya",1 bulan lalu,1
425,POLYTRON Multimedia Speaker PMA 9527 /BA,5,bagus produknya.  semoga awet,1 bulan lalu,1
426,POLYTRON Kulkas 1 Pintu Belleza  180 liter PRA 18CMS,1,"kulkas baru tp kyak bekas,  kotor,  pintu tdk rapat dan sudah kebanting bengkok bagian belakang.  sepertinya barang display/reject dijual online.  bela2in beli di officialsto. . .  ",1 bulan lalu,1
427,POLYTRON Smart Cinemax Android TV 43 inch PLD 43TAG9959,5,"barang jaminan ori,  tp antar nya aja yg agak lama sih.  overall ok",1 bulan lalu,1
428,POLYTRON Kulkas 2 Pintu Belleza 240 liter PRM 28CMS,4,warna di luar expektasi sih.  cuma sesuai harga.  bahan serba plastik saat ini.  tidak keliatan mewah.  saran yang mau beli mending pilih kulkas yg lebih mahal yg ada inverte. . .  ,1 bulan lalu,1
429,POLYTRON Mesin Cuci 2 Tabung Giant Series 7 KG PWM 7073,5,"produk bagus,  harga ekonomis,  semoga awet,  pengiriman ok,  respon cepat.  terima kasih. ",1 bulan lalu,1
430,"POLYTRON Cinemax Digital LED TV 32"" PLD 32TV1855",5,belum dibuka positive thinking aja,1 bulan lalu,1
431,POLYTRON Kulkas 1 Pintu Belleza 180 liter PRA 18,5,barang aman sampai rumah.  admin responsible. ,1 bulan lalu,1
432,POLYTRON Multimedia Speaker PMA 9527 /BA,5,"desain barang bagus,  kualitas suara lebih bagus dr seri di bawah nya",1 bulan lalu,1
433,POLYTRON Showcase 280 Liter SCN 238X,5,"thankyou
barang sampai dengan aman,  walaupun sampe rumah jam 2 malem.  yg penting aman 
thank's",1 bulan lalu,1
434,POLYTRON Active Speaker PAS 8EF28,5,walaupun ga sesuai pesanan barang yg dikirim.  semoga awet,1 bulan lalu,1
435,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,5,kulkasnya okeh bagus tapi emang lama dikirimnya doang,1 bulan lalu,1
436,POLYTRON Kulkas 1 Pintu Belleza 160 liter PRA 16DMY,1,buat pengalaman aja beli barang seperti ini dan sejenis nya lebih baik ke toko offline saja.  besi bawah tidak rata bekas hancur dari sana di tempel lakban silver biar tid. . .  ,1 bulan lalu,1
437,POLYTRON Kulkas 2 Pintu Side By Side 450 liter PRS 455S,4,"sudah beberapa hari sampai dan dipakai barang nya berkerja secara normal. 

paling kendala sedikit di third party kurir yang dipake toko ini aja. 
tidak jelas informasi yan. . .  ",1 bulan lalu,1
438,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869",5,produk sampai dalam keadaan lengkap dan tanpa cacat sesuai pesanan.  terima kasih. ,1 bulan lalu,1
439,POLYTRON Kulkas 2 Pintu Side By Side 450 liter PRS 455S,5,"kulkas nya bagus sesuai harapan,  material kokoh tebel mantep pokoknya",1 bulan lalu,1
440,Polytron Speaker PPB W05A6,5,suaranya mantap 🔊 kualitas boleh diadu desain elegan bahannya kokoh proses pesanan cepat,1 bulan lalu,1
441,POLYTRON Multimedia Speaker PMA 9522 /B,5,"barang sesuai ,  real pick,  semoga awett",1 bulan lalu,1
442,POLYTRON Dispenser Galon Bawah PWC 500,5,"mantap berfungsi kualitas ok, aman smpai tujuan, pengiriman bisa di dikordinasikan",1 bulan lalu,1
443,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 8 KG PAW 8028,5,"barang keadaan baik,  pengiriman cepat,  semoga awet",1 bulan lalu,1
444,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,5,"terbaik,  mesin cuci normal semua terimakasih",1 bulan lalu,1
445,POLYTRON Kulkas 1 Pintu Belleza 180 liter PRA 18,5,"motifnya sesuai dan cantikk ,  berfungsi dengan baik,  semoga awet dan yg lebih penting cepet banget pengirimannya (pertahankan)",1 bulan lalu,1
446,POLYTRON Multimedia Speaker PMA 9527 /BA,5,"pma9527 kualitas bagus,  tapi pengiriman tolong diperbaiki,  trims",1 bulan lalu,1
447,POLYTRON Smart Cinemax Android TV 43 inch PLD 43TAG9959,5,"mantap lah semoga awet,  pengiriman jga cepat ternyata",1 bulan lalu,1
448,POLYTRON 4K UHD Smart Cinemax Soundbar Google TV 43 Inch PLD 43BUG5959,5,"barang bagus,  pengiriman cepat,  harga murah. . .  support local. . 👍",1 bulan lalu,1
449,Polytron AC Neuva Pro 1/2 PK PAC 05VZ,1,untuk barang tidak ada masalah tapi buat yang belum ada pengalaman jasa pasang ac sebaiknya jangan beli yang jual unitnya saja tapi beli yang sepaket dengan instalasi kar. . .  ,1 bulan lalu,1
450,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75518B,5,barang ok dan mulus. . . . namun untuk saran proses pengiriman agar lebih disinkronkan supaya tidak terjadi miss komunikasi antara pembeli dan penjual,1 bulan lalu,1
451,POLYTRON Mesin Cuci 2 Tabung Giant Series 7 KG PWM 7073,5,original bagus bekerja dengan baik mesin cucinya semoga tidak ada kendala sampai srterusnya pengiriman saja statusnya tidak jelas paket sampai mana,1 bulan lalu,1
452,POLYTRON Showcase 280 Liter SCN 237,1,"order tgl 15 des bbrp saat status lsg berubah jd dalam pengiriman dgn kurir toko dan ternyata terima tgl 28 des
kirim sesama kota tangerang ke tangerang
ini terlalu lama. . .  ",1 bulan lalu,1
453,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,5,"dingin bgt, 
6000 btu mantep",1 bulan lalu,1
454,Polytron AC Deluxe 2 1 PK PAC 09VH,5,"mantapp seller nya responnya baik ,  untuk pengiriman harus sabar aja karna agak lama  . .  next order lagi thank you",1 bulan lalu,1
455,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,5,mantapppp. . . !!!!!,1 bulan lalu,1
456,"POLYTRON Cinemax Digital LED TV 32"" PLD 32TV1855",5,"bagus, , , barang mulus berfungsi dengan baik",1 bulan lalu,1
457,POLYTRON Multimedia Speaker PMA 9310 /BG,5,mantappp,1 bulan lalu,1
458,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,5,bagus semoga barokah,1 bulan lalu,1
469,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,3,"vacum mudah panas tidak menyedot debu bahkan rambut pun tidak terhisap.  
baru sebulan udah bau hangit alias gosong. ",Hari ini,1
470,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,5,"packing oke,  barang oke ,  diskon oke",1 hari lalu,1
471,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,baguss barang original,1 hari lalu,1
472,Sanken SJ-150 Magic Com 1.2L - Black,5,"barang original,  alhamdulillah ga ada defect/kerusakan. . . udah dicoba nasi matang sempurna.  saran aja kl mau masak nasi dlebihin sedikit airnya dari panduan garis yg di po. . .  ",2 hari lalu,1
473,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,5,"luar biasa barang sesuai,  kondisi oke,  packing mantap",2 hari lalu,1
474,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,❤️❤️❤️❤️❤️❤️,2 hari lalu,1
475,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,2,sangat kecewa dengan pelayanan customer service atau admin online shop yang sangat tidak responsif.  menjanjikan ini itu tapi semuanya sama sekali gak ada yang terealisasi. . .  ,3 hari lalu,1
476,Sanken HWD-Z78IC Water Dispenser Duo Gallon,5,semoga awet,3 hari lalu,1
477,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,4,"kurirnya kurang recomend,  seminggu brg tdk dikirim,  cari yg lebih baik ya ka,  makasi",3 hari lalu,1
478,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,5,mantap. . . . ,4 hari lalu,1
479,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,5,ok manatap,4 hari lalu,1
480,Sanken Dispenser Duo Galon Bawah Atas HWD-Z79IC Xatria Pro Series,5,"seller informatif,  packing rapi,  pengiriman cepat,  produk sesuai foto & deskripsi,  serta berfungsi dengan baik 👍",5 hari lalu,1
481,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,pengiriman cepat.  pengemasan baik.  barang sejak 3 hari diterima berjalan dengan baik. ,6 hari lalu,1
482,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,kualitas sangat baikkkk,1 minggu lalu,1
483,Sanken TW-1222 Mesin Cuci 2 Tabung 11KG,5,"kapasitas besar,  cucian bersih,  gampang cara pakainya",1 minggu lalu,1
484,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,barang original dan sangat bagus kualitas ya.  tokoh ya sangat amanah dan respon,1 minggu lalu,1
485,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,5,barang bagus dan langsung pakai hasill ok. . ,1 minggu lalu,1
486,Sanken HWD-Z88 Water Dispenser Duo gallon,5,"barang dah nyampe rumah,  selamat sampai tujuan",1 minggu lalu,1
487,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,good,1 minggu lalu,1
488,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,5,sampai cepat datang.  berfungsi  langsung di pakai,1 minggu lalu,1
489,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,5,oke berfungsi dengan baik. . . ,1 minggu lalu,1
490,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,1,"pelayanan pengiriman yang lambat sekaliii 
butuh cepat karena ada anak bayi yg banyak cucian dikirim 3 hariiii",1 minggu lalu,1
491,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,1,"driver hanya mengirim barang,  tidak membantu penurunan barang… tidak membantu memasangkan dan memastikan brang dalam kondisi baik. 
tau begitu ga saya kasi shere lokasi…. . . .  ",1 minggu lalu,1
492,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,5,👍👍👍👍🙏,1 minggu lalu,1
493,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,terima kasih barang sudah sampai dan berfungsi dengan baik,1 minggu lalu,1
494,Sanken FS-700GR/BR Kipas Angin,5,mantap,1 minggu lalu,1
495,Sanken Dispenser Duo Galon Bawah Atas HWD-H230SS Oasis Stainless Steel,5,"kualitas barang bagus tp agan2 semua hati2 dalam memilih jasa kurir,  nih ada buktinya dispenser saya dibolak balik ama sikurir pdhal peringatan di penjual udah jelas bahw. . .  ",1 minggu lalu,1
496,Sanken FS-700GR/BR Kipas Angin,5,"partnya lengkap semua dan kipasnya bekerja dengan baik,  angin kenceng. ",2 minggu lalu,1
497,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,5,mendarat dgn selamat walaupun agak lama pengiriman nya . .  alhamdulillah dapat pas diskon banyak,2 minggu lalu,1
498,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,5,"barang bagus,  sedotannya kuat,  cocok buat bersihin kasur springbed 👍",2 minggu lalu,1
499,Dispenser Sanken Duo Gallon DA-21G Dispenser Galon Bawah Atas,5,"sesuai pesanan,  seller aktif,  kurir ramah,  terima kasih. ",2 minggu lalu,1
500,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,5,packing sudah bubble wrap.  kondisi barang diterima dengan baik. ,2 minggu lalu,1
501,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,5,"aman,  barang bagus,  berfungsi dgn baik. ",2 minggu lalu,1
502,Sanken Rice Cooker 1 Liter SJ-203 Warna Random,5,pengiriman mantap. .  same day. .  sore sudah sampai. .  produk ok,2 minggu lalu,1
503,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,5,mantap,2 minggu lalu,1
504,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,5,"langsung dites dan hasilnya aman,  semoga awet",2 minggu lalu,1
505,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,5,"paket cepat datang
kwalitas barang bagus 
semoga pejualan nya semakin sukses",2 minggu lalu,1
506,Sanken SJ-200 Magic Com 1L -Red,4,"+ gampang bersihin
- ukuran 1l ga cukup buat 1 keluarga,  kalo buat anak kos pas nih,  maks 1, 5 hari kalo lebih nasinya jadi kering",2 minggu lalu,1
507,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,bagus barang jos,2 minggu lalu,1
508,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,4,"produk bagus,  original,  diskon besar dapat 
pengiriman dan kurir lama",2 minggu lalu,1
509,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,barang sudah sampai,2 minggu lalu,1
510,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,5,"barang oke.  walau bagian belakang agak kurang rapat yaa.  air panas berfungsi.  air dingin bekerja.  order malem,  besok siangnya dateng. ",2 minggu lalu,1
511,Sanken Dispenser Duo Galon Bawah Atas HWD-Z79IC Xatria Pro Series,5,"barang sampai bandar lampung dengan aman.  semua berfungsi dengan normal.  semoga awet,  aamiin",2 minggu lalu,1
512,Sanken SJ-2000M-LG Magic Com 1.8 L Light Green,5,"sudah sampai dengan aman,  packing aman",2 minggu lalu,1
513,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,"sejauh ini,  semoga awet. ",2 minggu lalu,1
514,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,5,"barang sampai dengan aman,  kurir toko ramah dan sangat membantu",3 minggu lalu,1
515,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,5,"setelah dipakai beberapa kali barang nya ok lah sangat bermanfaat,  thanks",3 minggu lalu,1
516,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,oke pake bagettt👍🏻👍🏻,3 minggu lalu,1
517,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,5,sampai dengan selamat barangnya tanpa rusak,3 minggu lalu,1
518,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,5,telah diterima dengan baik masih dalam box. ,3 minggu lalu,1
519,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,5,barang original keren,3 minggu lalu,1
520,Sanken SJ-2500BK Magic Com 1.8L Hitam,3,"mungkin masalah dari pengiriman, ,  dan lupa di video efek di unboxin ortu",3 minggu lalu,1
521,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,5,"alhamdulillah barang sampai dengan selamat dan berfungsi dengan baik.  
semoga awet. .  aamiin",3 minggu lalu,1
522,Sanken SG-369 DX2 Kompor Gas 2 Tungku,5,"sedaaaap.  kompor terbaik,  tungku api besar,  ada api lilin dan yg paliiiing penting,  permukaan kaca yg mudah bgt dibersihin.  mantaaap❤️",3 minggu lalu,1
523,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,alhamdulillah barang sdh sampai. . . semoga berfungsi dengan baik dan awet. . . terimakasih. . . ,3 minggu lalu,1
524,Sanken SJ-2500BK Magic Com 1.8L Hitam,5,pengiriman hanya di hari kerja.  cepat. ,3 minggu lalu,1
525,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,"putaran bagus, body agak ringkih",3 minggu lalu,1
526,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,4,"beratnya mantap,  nggak perlu ditekan.  tapi sedotannya manaaa. . . . ?🥺",3 minggu lalu,1
527,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,"overall mantab,  langsung sat set seller nya",3 minggu lalu,1
528,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,"bagus
ga penyok
dah mendarat di sorong papua barat daya",3 minggu lalu,1
529,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,5,barang ori dan berfungsi dengan baik,3 minggu lalu,1
530,Sanken TW-1127GSL Mesin cuci 2 tabung 9KG Chrome Handle,5,👍🏻,3 minggu lalu,1
531,Sanken SJ-3030BK Magic Com 2L - Black,5,"pengiriman cepat,  packaging,  layanan dan produk bagus",3 minggu lalu,1
532,Dispenser Sanken Duo Gallon DA-21G Dispenser Galon Bawah Atas,5,"brg sdh di trm dgn baik,  sudah sy tes jg smw berfungsi normal,  smoga awet,  trmksh sanken ,  sukses selalu",4 minggu lalu,1
533,Sanken AW-S866PP Mesin Cuci Top Loading 7KG,5,"makasih barang sudah sampai,  mudah-mudahan awet",4 minggu lalu,1
534,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,5,"kualitas bagus,  designnya bagus,  dan dinginnya mantap",4 minggu lalu,1
535,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,barang sudah diterima dengan baik.  langsung di coba.  semoga awet dan tahan lama,4 minggu lalu,1
536,Sanken 32 Inch Smart LED TV FHD SLE-32SH101SC Digital TV Dolby Audio,3,"khusus produk tv baik namun sayang sekali yang dikirim tidak sesuai dengan deskripsi seharusnya yang didapat (tidak lengkap),  sudah ajukan komplain ternyata di approve un. . .  ",4 minggu lalu,1
537,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,5,"samapi dengan cepat dan selamat,  cuma kurirnya selesai sampai kirim aja. 
klo pasang keran kita sendiri.  beda klo sama beli ditoko langsung",4 minggu lalu,1
538,Sanken SJ-2500BK Magic Com 1.8L Hitam,5,"respon seller baik menyarankan mana yang terbaik,  sukses selalu buat toko",4 minggu lalu,1
539,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,4,"barang sesuai spesifikasi dan kondisi baik.  hanya saja biaya ekstra pengantaran barang seperti tol dan parkir dibebankan kepada customer yg menerima,  walaupun sudah memba. . .  ",4 minggu lalu,1
540,Sanken SJ-3030BK Magic Com 2L - Black,5,"bagus,  cuma agak peyok di bagian depannya",1 bulan lalu,1
541,Sanken Rice Cooker 1 Liter SJ-120H,5,01 amin anies - muhaimin,1 bulan lalu,1
542,Sanken HWD-Z88 Water Dispenser Duo gallon,5,okay,1 bulan lalu,1
543,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,sip.  engine purr like kitten.  gearbox smooth.  open filter.  overall ready to race,1 bulan lalu,1
544,Sanken DD-60 Dish Dryer,5,produk dikirim aman dan selamat semua. . berfungsi dengan sangat baik dan muat banyak. . memuaskan. .  thanks seller,1 bulan lalu,1
545,Sanken SJ-3030BK Magic Com 2L - Black,5,cepat dan barangnya bagus,1 bulan lalu,1
546,Sanken Dispenser Galon Bawah HWD-L130SS-WH Oasis Stainless Steel,5,"cakep,  fast response dan fast delivery juga…semoga sanken tetap mempertahankan quality dan servicenya jg keren. ",1 bulan lalu,1
547,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,3,lampu uvnya tidak mau nyala,1 bulan lalu,1
548,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,barang sudah sampai dengan selamat terima kasih🙏🏻🙏🏻sukses selalu untuk tokonya🙏🏻🙏🏻,1 bulan lalu,1
549,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,2,"barang sedikit bermasalah didatengkan teknisi setelah ber minggu2,  teknisi jg ogah2an kerjanya dan pelayanannya sampe dirumah kulkas gk diapa2in tp yaudah mau gimana lg. . . .  ",1 bulan lalu,1
550,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,5,kiriman cepat,1 bulan lalu,1
551,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,5,mantap vacuum yang terdapat uv agar bakteri hempas,1 bulan lalu,1
552,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,4,"pengiriman cepat dan admin fast response. 
air panas berfungsi normal tapi air dinginnya kurang memuaskan. 
kalau anda penyuka minum air dingin,  dispenser ini akan terasa k. . .  ",1 bulan lalu,1
553,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,5,semoga awet 😎👍🏻,1 bulan lalu,1
554,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,1,"barang baru dipake 1 bulan sudah rusak.  dibawa ke service center dari akhir november sampai saat ini ngga ada kejelasan katanya menunggu sparepart, di wa untuk tanya statu. . .  ",1 bulan lalu,1
555,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,5,ok,1 bulan lalu,1
556,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,5,"barang sudah sampai dan sesuai,  semoga awet,  terima kasih",1 bulan lalu,1
557,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,5,ok,1 bulan lalu,1
558,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,"respon cepat pengiriman cepat ,  belum. dicoba mudah mudahan awet. . ",1 bulan lalu,1
559,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,5,ok,1 bulan lalu,1
560,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,"barangnya bagus,  desainnya keren,  tenaga motor mesinnya mantap",1 bulan lalu,1
561,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,5,"respon cepat,  produk bagus.  recommended 👍👍👍",1 bulan lalu,1
562,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,5,sangat membantu untuk menstrilkan botol susu bayi,1 bulan lalu,1
563,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,5,terimakasih. . . . . ,1 bulan lalu,1
564,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,5,"respon cs kurang memuaskan. . agak lama balasnya. . 
proses pemesanan jg harus tunggu waktu masuk kerja. . padahal balas chat ttp berjalan. . . kan bs y di accept dl. . kirim setela. . .  ",1 bulan lalu,1
565,Sanken HWD-Z96 Water Dispenser Duo gallon,5,mantab,1 bulan lalu,1
566,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,5,luar biasa pelayanannya,1 bulan lalu,1
567,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,5,krn kurir toko.  jd aman.  tp lama bgt nunggu jadwalny,1 bulan lalu,1
568,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,"mantap

bagus",1 bulan lalu,1
569,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,5,buat kado.  tmn ku seneng.  pengirimannya cpt krn pake instan dan aman. .  respon admin cukup baik aku nny2 sbar jawabnya.  terima kasih,1 bulan lalu,1
570,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,5,barangnya okay . . . cuma barangnya agak lama sampainya. ,1 bulan lalu,1
571,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,5,mantap,1 bulan lalu,1
572,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,5,oke,1 bulan lalu,1
573,Sanken Microwave MO-200BK 20 Liter Hitam,1,piring kaca tidak dikemas dengan baik.  akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,1 bulan lalu,1
574,Sanken SJ-130H Magic Com 1L - Black,5,"sesuai pesanan,  diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus).  semoga kompor dan rice cooker sanken kualitasnya ok da. . .  ",1 bulan lalu,1
