Tanggal,Produk,Rating,Label,Ulasan,Cleaning,Tokenizing,Normalisasi,Stopword,Stemming,text
1 bulan lalu,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",bintang 5,1,mntap,mntap,['mntap'],['mntap'],['mntap'],['mntap'],mntap
1 bulan lalu,POLYTRON Dispenser Galon Bawah Hydra dengan UV PWC 778UV,bintang 5,1,"barang asli,  bergaransi.  prosesnya cepat. ",barang asli bergaransi prosesnya cepat,"['barang', 'asli', 'bergaransi', 'prosesnya', 'cepat']","['barang', 'asli', 'bergaransi', 'prosesnya', 'cepat']","['barang', 'asli', 'bergaransi', 'prosesnya', 'cepat']","['barang', 'asli', 'garansi', 'proses', 'cepat']",barang asli garansi proses cepat
1 bulan lalu,POLYTRON Kulkas 1 Pintu Beauty metal door 150 liter PRB 159,bintang 5,1,mantab barang sesuai spek dan bagus,mantab barang sesuai spek dan bagus,"['mantab', 'barang', 'sesuai', 'spek', 'dan', 'bagus']","['mantab', 'barang', 'sesuai', 'spek', 'dan', 'bagus']","['mantab', 'barang', 'sesuai', 'spek', 'bagus']","['mantab', 'barang', 'sesuai', 'spek', 'bagus']",mantab barang sesuai spek bagus
1 bulan lalu,POLYTRON Multimedia Speaker PMA 9310 /BG,bintang 4,1,"sesuai pesanan,  cuma ada penyok dikit gapapa lah",sesuai pesanan cuma ada penyok dikit gapapa lah,"['sesuai', 'pesanan', 'cuma', 'ada', 'penyok', 'dikit', 'gapapa', 'lah']","['sesuai', 'pesanan', 'cuma', 'ada', 'penyok', 'dikit', 'gapapa', 'lah']","['sesuai', 'pesanan', 'penyok', 'dikit', 'gapapa']","['sesuai', 'pesan', 'penyok', 'dikit', 'gapapa']",sesuai pesan penyok dikit gapapa
1 bulan lalu,POLYTRON Bluetooth Speaker PMA 9310 /BG,bintang 5,1,"kualitas produk ok utk speaker harga 500rban,  suara ok,  dpt diskon banyak dr tokped,  menyenangkan,  hepiii,  pengiriman cukup cepat",kualitas produk ok utk speaker harga rban suara ok dpt diskon banyak dr tokped menyenangkan hepiii pengiriman cukup cepat,"['kualitas', 'produk', 'ok', 'utk', 'speaker', 'harga', 'rban', 'suara', 'ok', 'dpt', 'diskon', 'banyak', 'dr', 'tokped', 'menyenangkan', 'hepiii', 'pengiriman', 'cukup', 'cepat']","['kualitas', 'produk', 'ok', 'untuk', 'speaker', 'harga', 'rban', 'suara', 'ok', 'dapat', 'diskon', 'banyak', 'dari', 'tokped', 'menyenangkan', 'hepiii', 'pengiriman', 'cukup', 'cepat']","['kualitas', 'produk', 'ok', 'harga', 'rban', 'suara', 'ok', 'diskon', 'tokped', 'menyenangkan', 'hepiii', 'pengiriman', 'cepat']","['kualitas', 'produk', 'ok', 'harga', 'rban', 'suara', 'ok', 'diskon', 'tokped', 'senang', 'hepiii', 'kirim', 'cepat']",kualitas produk ok harga rban suara ok diskon tokped senang hepiii kirim cepat
1 bulan lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 3,0,sampenya lama.  karena pakai kurir toko. . . ,sampenya lama karena pakai kurir toko,"['sampenya', 'lama', 'karena', 'pakai', 'kurir', 'toko']","['sampenya', 'lama', 'karena', 'pakai', 'kurir', 'toko']","['sampenya', 'pakai', 'kurir']","['sampenya', 'pakai', 'kurir']",sampenya pakai kurir
1 bulan lalu,POLYTRON Multimedia Speaker PMA 9527 /BA,bintang 5,1,sesuai ekspetasi. .  suara mantap. .  cocok banget untuk dalam kamar. .  seandainya middle dikasi yg lebih besar pasti lebih mantap lg. .  thanks polytron. . ,sesuai ekspetasi suara mantap cocok banget untuk dalam kamar seandainya middle dikasi yg lebih besar pasti lebih mantap lg thanks polytron,"['sesuai', 'ekspetasi', 'suara', 'mantap', 'cocok', 'banget', 'untuk', 'dalam', 'kamar', 'seandainya', 'middle', 'dikasi', 'yg', 'lebih', 'besar', 'pasti', 'lebih', 'mantap', 'lg', 'thanks', 'polytron']","['sesuai', 'ekspetasi', 'suara', 'mantap', 'cocok', 'banget', 'untuk', 'dalam', 'kamar', 'seandainya', 'middle', 'dikasi', 'yang', 'lebih', 'besar', 'pasti', 'lebih', 'mantap', 'lagi', 'thanks', 'polytron']","['sesuai', 'ekspetasi', 'suara', 'mantap', 'cocok', 'banget', 'kamar', 'seandainya', 'dikasi', 'mantap', 'polytron']","['sesuai', 'ekspetasi', 'suara', 'mantap', 'cocok', 'banget', 'kamar', 'anda', 'kasi', 'mantap', 'polytron']",sesuai ekspetasi suara mantap cocok banget kamar anda kasi mantap polytron
1 bulan lalu,Polytron AC Deluxe 2 1 PK PAC 09VH,bintang 5,1,akhirnya setelah sekian lama.  semoga awet,akhirnya setelah sekian lama semoga awet,"['akhirnya', 'setelah', 'sekian', 'lama', 'semoga', 'awet']","['akhirnya', 'setelah', 'sekian', 'lama', 'semoga', 'awet']","['sekian', 'semoga', 'awet']","['sekian', 'moga', 'awet']",sekian moga awet
1 bulan lalu,POLYTRON Multimedia Speaker PMA 9522 /B,bintang 5,1,"pengiriman sangat cepat dan aman

kualitas produk baik

seller komunikatif

sangat direkomendasikan",pengiriman sangat cepat dan aman kualitas produk baik seller komunikatif sangat direkomendasikan,"['pengiriman', 'sangat', 'cepat', 'dan', 'aman', 'kualitas', 'produk', 'baik', 'seller', 'komunikatif', 'sangat', 'direkomendasikan']","['pengiriman', 'sangat', 'cepat', 'dan', 'aman', 'kualitas', 'produk', 'baik', 'seller', 'komunikatif', 'sangat', 'direkomendasikan']","['pengiriman', 'cepat', 'aman', 'kualitas', 'produk', 'komunikatif', 'direkomendasikan']","['kirim', 'cepat', 'aman', 'kualitas', 'produk', 'komunikatif', 'rekomendasi']",kirim cepat aman kualitas produk komunikatif rekomendasi
1 bulan lalu,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17DMY,bintang 5,1,good job.  produk memuaskan,good job produk memuaskan,"['good', 'job', 'produk', 'memuaskan']","['good', 'job', 'produk', 'memuaskan']","['produk', 'memuaskan']","['produk', 'muas']",produk muas
1 bulan lalu,Polytron AC Deluxe 2 1/2 PK PAC 05VH,bintang 5,1,luar biasa dingin. .  mantaappp berkualitas. . ,luar biasa dingin mantaappp berkualitas,"['luar', 'biasa', 'dingin', 'mantaappp', 'berkualitas']","['luar', 'biasa', 'dingin', 'mantaappp', 'berkualitas']","['dingin', 'mantaappp', 'berkualitas']","['dingin', 'mantaappp', 'kualitas']",dingin mantaappp kualitas
1 bulan lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 10 KG PWM 1076,bintang 5,1,mantaaaap sesuai ekspektasi,mantaaaap sesuai ekspektasi,"['mantaaaap', 'sesuai', 'ekspektasi']","['mantaaaap', 'sesuai', 'ekspektasi']","['mantaaaap', 'sesuai', 'ekspektasi']","['mantaaaap', 'sesuai', 'ekspektasi']",mantaaaap sesuai ekspektasi
1 bulan lalu,POLYTRON Professional Active Speaker PAS PRO10F6,bintang 5,1,barang sudah sampai dgn selamat. . respon seller cepat. . . barang berfungsi dgn baik makasih,barang sudah sampai dgn selamat respon seller cepat barang berfungsi dgn baik makasih,"['barang', 'sudah', 'sampai', 'dgn', 'selamat', 'respon', 'seller', 'cepat', 'barang', 'berfungsi', 'dgn', 'baik', 'makasih']","['barang', 'sudah', 'sampai', 'dengan', 'selamat', 'respon', 'seller', 'cepat', 'barang', 'berfungsi', 'dengan', 'baik', 'terima kasih']","['barang', 'selamat', 'respon', 'cepat', 'barang', 'berfungsi', 'terima kasih']","['barang', 'selamat', 'respon', 'cepat', 'barang', 'fungsi', 'terima kasih']",barang selamat respon cepat barang fungsi terima kasih
1 bulan lalu,POLYTRON Kulkas 2 Pintu Belleza JUMBO 260 Liter PRW 29MN,bintang 4,1,"pengiriman nya lumayan cepet pesen tgl 3 sampe nya tgl 7,  barang mulus tidak ada lecet,  cuma pas dtg dalam kondisi hujan dan pengiriman tidak pakai mobil box.  semoga awet",pengiriman nya lumayan cepet pesen tgl sampe nya tgl barang mulus tidak ada lecet cuma pas dtg dalam kondisi hujan dan pengiriman tidak pakai mobil box semoga awet,"['pengiriman', 'nya', 'lumayan', 'cepet', 'pesen', 'tgl', 'sampe', 'nya', 'tgl', 'barang', 'mulus', 'tidak', 'ada', 'lecet', 'cuma', 'pas', 'dtg', 'dalam', 'kondisi', 'hujan', 'dan', 'pengiriman', 'tidak', 'pakai', 'mobil', 'box', 'semoga', 'awet']","['pengiriman', 'nya', 'lumayan', 'cepat', 'pesan', 'tanggal', 'sampai', 'nya', 'tanggal', 'barang', 'mulus', 'tidak', 'ada', 'lecet', 'cuma', 'pas', 'datang', 'dalam', 'kondisi', 'hujan', 'dan', 'pengiriman', 'tidak', 'pakai', 'mobil', 'box', 'semoga', 'awet']","['pengiriman', 'nya', 'lumayan', 'cepat', 'pesan', 'tanggal', 'nya', 'tanggal', 'barang', 'mulus', 'tidak', 'lecet', 'pas', 'kondisi', 'hujan', 'pengiriman', 'tidak', 'pakai', 'mobil', 'semoga', 'awet']","['kirim', 'nya', 'lumayan', 'cepat', 'pesan', 'tanggal', 'nya', 'tanggal', 'barang', 'mulus', 'tidak', 'lecet', 'pas', 'kondisi', 'hujan', 'kirim', 'tidak', 'pakai', 'mobil', 'moga', 'awet']",kirim nya lumayan cepat pesan tanggal nya tanggal barang mulus tidak lecet pas kondisi hujan kirim tidak pakai mobil moga awet
1 bulan lalu,"POLYTRON DIGITAL LED TV 32"" PLD 32V1853",bintang 5,1,oke bingirsssssss,oke bingirsssssss,"['oke', 'bingirsssssss']","['oke', 'bingirsssssss']","['oke', 'bingirsssssss']","['oke', 'bingirsssssss']",oke bingirsssssss
1 bulan lalu,POLYTRON Dispenser Galon Bawah PWC 615,bintang 5,1,pengiriman luaaaammaaaaa. . .  tp brg bagus,pengiriman luaaaammaaaaa tp brg bagus,"['pengiriman', 'luaaaammaaaaa', 'tp', 'brg', 'bagus']","['pengiriman', 'luaaaammaaaaa', 'tapi', 'bareng', 'bagus']","['pengiriman', 'luaaaammaaaaa', 'bareng', 'bagus']","['kirim', 'luaaaammaaaaa', 'bareng', 'bagus']",kirim luaaaammaaaaa bareng bagus
1 bulan lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 9.5 KG PAW 9527,bintang 5,1,sejauh ini produk berfungsi cm terkendala di selang air yg kurang panjang,sejauh ini produk berfungsi cm terkendala di selang air yg kurang panjang,"['sejauh', 'ini', 'produk', 'berfungsi', 'cm', 'terkendala', 'di', 'selang', 'air', 'yg', 'kurang', 'panjang']","['sejauh', 'ini', 'produk', 'berfungsi', 'cuma', 'terkendala', 'di', 'selang', 'air', 'yang', 'kurang', 'panjang']","['produk', 'berfungsi', 'terkendala', 'selang']","['produk', 'fungsi', 'kendala', 'selang']",produk fungsi kendala selang
1 bulan lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series 8 KG PWM 8073,bintang 5,1,"barang di terima dengan kondisi sangat baikk,  semoga awet tidak ada kendala. . . . ",barang di terima dengan kondisi sangat baikk semoga awet tidak ada kendala,"['barang', 'di', 'terima', 'dengan', 'kondisi', 'sangat', 'baikk', 'semoga', 'awet', 'tidak', 'ada', 'kendala']","['barang', 'di', 'terima', 'dengan', 'kondisi', 'sangat', 'baik', 'semoga', 'awet', 'tidak', 'ada', 'kendala']","['barang', 'terima', 'kondisi', 'semoga', 'awet', 'tidak', 'kendala']","['barang', 'terima', 'kondisi', 'moga', 'awet', 'tidak', 'kendala']",barang terima kondisi moga awet tidak kendala
1 bulan lalu,POLYTRON Mesin cuci 2 tabung Primadona Giant hijab 10 Kg PWM 1082,bintang 5,1,"pengiriman cepat, packing aman lintas provinsi karena diproses dihari kerja jadi 1minggu sampenya btw freeongkir dari official store aman di kirim cargoo. . . top fiturnya ca. . .  ",pengiriman cepat packing aman lintas provinsi karena diproses dihari kerja jadi minggu sampenya btw freeongkir dari official store aman di kirim cargoo top fiturnya ca,"['pengiriman', 'cepat', 'packing', 'aman', 'lintas', 'provinsi', 'karena', 'diproses', 'dihari', 'kerja', 'jadi', 'minggu', 'sampenya', 'btw', 'freeongkir', 'dari', 'official', 'store', 'aman', 'di', 'kirim', 'cargoo', 'top', 'fiturnya', 'ca']","['pengiriman', 'cepat', 'packing', 'aman', 'lintas', 'provinsi', 'karena', 'diproses', 'dihari', 'kerja', 'jadi', 'minggu', 'sampenya', 'btw', 'freeongkir', 'dari', 'official', 'store', 'aman', 'di', 'kirim', 'cargoo', 'top', 'fiturnya', 'ca']","['pengiriman', 'cepat', 'packing', 'aman', 'lintas', 'provinsi', 'diproses', 'dihari', 'kerja', 'minggu', 'sampenya', 'btw', 'freeongkir', 'aman', 'kirim', 'cargoo', 'fiturnya']","['kirim', 'cepat', 'packing', 'aman', 'lintas', 'provinsi', 'proses', 'hari', 'kerja', 'minggu', 'sampenya', 'btw', 'freeongkir', 'aman', 'kirim', 'cargoo', 'fiturnya']",kirim cepat packing aman lintas provinsi proses hari kerja minggu sampenya btw freeongkir aman kirim cargoo fiturnya
1 bulan lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 4,1,"barang oke,  namun pengiriman lambat",barang oke namun pengiriman lambat,"['barang', 'oke', 'namun', 'pengiriman', 'lambat']","['barang', 'oke', 'namun', 'pengiriman', 'lambat']","['barang', 'oke', 'pengiriman', 'lambat']","['barang', 'oke', 'kirim', 'lambat']",barang oke kirim lambat
1 bulan lalu,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,bintang 5,1,mantaab. . .  ac cepet banget dinginin ruangan,mantaab ac cepet banget dinginin ruangan,"['mantaab', 'ac', 'cepet', 'banget', 'dinginin', 'ruangan']","['mantaab', 'ac', 'cepat', 'banget', 'dinginin', 'ruangan']","['mantaab', 'ac', 'cepat', 'banget', 'dinginin', 'ruangan']","['mantaab', 'ac', 'cepat', 'banget', 'dinginin', 'ruang']",mantaab ac cepat banget dinginin ruang
1 bulan lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 9 KG PAW 9028,bintang 5,1,"berfungsin,  semoga awet",berfungsin semoga awet,"['berfungsin', 'semoga', 'awet']","['berfungsin', 'semoga', 'awet']","['berfungsin', 'semoga', 'awet']","['berfungsin', 'moga', 'awet']",berfungsin moga awet
1 bulan lalu,"POLYTRON LED TV DIGITAL 43"" PLD 43V8853",bintang 5,1,proses pesanan cepat kualitas suaranya bagus resolusi gambar tajam 👍,proses pesanan cepat kualitas suaranya bagus resolusi gambar tajam,"['proses', 'pesanan', 'cepat', 'kualitas', 'suaranya', 'bagus', 'resolusi', 'gambar', 'tajam']","['proses', 'pesanan', 'cepat', 'kualitas', 'suaranya', 'bagus', 'resolusi', 'gambar', 'tajam']","['proses', 'pesanan', 'cepat', 'kualitas', 'suaranya', 'bagus', 'resolusi', 'gambar', 'tajam']","['proses', 'pesan', 'cepat', 'kualitas', 'suara', 'bagus', 'resolusi', 'gambar', 'tajam']",proses pesan cepat kualitas suara bagus resolusi gambar tajam
1 bulan lalu,POLYTRON Bluetooth Speaker PMA 9321 /B,bintang 5,1,"produk bagus,  recommended banget",produk bagus recommended banget,"['produk', 'bagus', 'recommended', 'banget']","['produk', 'bagus', 'recommended', 'banget']","['produk', 'bagus', 'recommended', 'banget']","['produk', 'bagus', 'recommended', 'banget']",produk bagus recommended banget
1 bulan lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 5,1,"barang yang dikirim sesuai dengan yang di pesan,  pengiriman standar 3 hari sampai,  hanya saja karena menggunakan kurir toko jd tidak bisa di lacak.  
gambar jernih,  suaran. . .  ",barang yang dikirim sesuai dengan yang di pesan pengiriman standar hari sampai hanya saja karena menggunakan kurir toko jd tidak bisa di lacak gambar jernih suaran,"['barang', 'yang', 'dikirim', 'sesuai', 'dengan', 'yang', 'di', 'pesan', 'pengiriman', 'standar', 'hari', 'sampai', 'hanya', 'saja', 'karena', 'menggunakan', 'kurir', 'toko', 'jd', 'tidak', 'bisa', 'di', 'lacak', 'gambar', 'jernih', 'suaran']","['barang', 'yang', 'dikirim', 'sesuai', 'dengan', 'yang', 'di', 'pesan', 'pengiriman', 'standar', 'hari', 'sampai', 'hanya', 'saja', 'karena', 'menggunakan', 'kurir', 'toko', 'jadi', 'tidak', 'bisa', 'di', 'lacak', 'gambar', 'jernih', 'suaran']","['barang', 'dikirim', 'sesuai', 'pesan', 'pengiriman', 'standar', 'kurir', 'tidak', 'lacak', 'gambar', 'jernih', 'suaran']","['barang', 'kirim', 'sesuai', 'pesan', 'kirim', 'standar', 'kurir', 'tidak', 'lacak', 'gambar', 'jernih', 'suar']",barang kirim sesuai pesan kirim standar kurir tidak lacak gambar jernih suar
1 bulan lalu,POLYTRON Kulkas 1 Pintu Belleza 180 liter PRA 18Z,bintang 5,1,"alhamdulillah barangnya udah sampe dengan aman & gratis ongkir,  kurirnya juga ramah.  barang original & berfungsi dengan baik,  warnanya juga bagus,  semoga awet.  te. . .  ",alhamdulillah barangnya udah sampe dengan aman gratis ongkir kurirnya juga ramah barang original berfungsi dengan baik warnanya juga bagus semoga awet te,"['alhamdulillah', 'barangnya', 'udah', 'sampe', 'dengan', 'aman', 'gratis', 'ongkir', 'kurirnya', 'juga', 'ramah', 'barang', 'original', 'berfungsi', 'dengan', 'baik', 'warnanya', 'juga', 'bagus', 'semoga', 'awet', 'te']","['alhamdulillah', 'barangnya', 'sudah', 'sampai', 'dengan', 'aman', 'gratis', 'ongkir', 'kurirnya', 'juga', 'ramah', 'barang', 'original', 'berfungsi', 'dengan', 'baik', 'warnanya', 'juga', 'bagus', 'semoga', 'awet', 'te']","['alhamdulillah', 'barangnya', 'aman', 'ongkir', 'kurirnya', 'ramah', 'barang', 'berfungsi', 'warnanya', 'bagus', 'semoga', 'awet']","['alhamdulillah', 'barang', 'aman', 'ongkir', 'kurir', 'ramah', 'barang', 'fungsi', 'warna', 'bagus', 'moga', 'awet']",alhamdulillah barang aman ongkir kurir ramah barang fungsi warna bagus moga awet
1 bulan lalu,POLYTRON Multimedia Speaker PMA 9321 /B,bintang 5,1,alhamdulillah sesuai. ,alhamdulillah sesuai,"['alhamdulillah', 'sesuai']","['alhamdulillah', 'sesuai']","['alhamdulillah', 'sesuai']","['alhamdulillah', 'sesuai']",alhamdulillah sesuai
1 bulan lalu,POLYTRON Kulkas 2 Pintu Beauty Steel 220 liter PRB 237LB,bintang 5,1,"barang sudah sampai sesuai pesanan,  bagus semoga awet,  terima kasih seller terima kasih polytron terimakasih kurir,  cuma sedikit minus pesanan tidak bisa ditracking,  over. . .  ",barang sudah sampai sesuai pesanan bagus semoga awet terima kasih seller terima kasih polytron terimakasih kurir cuma sedikit minus pesanan tidak bisa ditracking over,"['barang', 'sudah', 'sampai', 'sesuai', 'pesanan', 'bagus', 'semoga', 'awet', 'terima', 'kasih', 'seller', 'terima', 'kasih', 'polytron', 'terimakasih', 'kurir', 'cuma', 'sedikit', 'minus', 'pesanan', 'tidak', 'bisa', 'ditracking', 'over']","['barang', 'sudah', 'sampai', 'sesuai', 'pesanan', 'bagus', 'semoga', 'awet', 'terima', 'kasih', 'seller', 'terima', 'kasih', 'polytron', 'terimakasih', 'kurir', 'cuma', 'sedikit', 'minus', 'pesanan', 'tidak', 'bisa', 'ditracking', 'over']","['barang', 'sesuai', 'pesanan', 'bagus', 'semoga', 'awet', 'terima', 'kasih', 'terima', 'kasih', 'polytron', 'terimakasih', 'kurir', 'pesanan', 'tidak', 'ditracking']","['barang', 'sesuai', 'pesan', 'bagus', 'moga', 'awet', 'terima', 'kasih', 'terima', 'kasih', 'polytron', 'terimakasih', 'kurir', 'pesan', 'tidak', 'ditracking']",barang sesuai pesan bagus moga awet terima kasih terima kasih polytron terimakasih kurir pesan tidak ditracking
1 bulan lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 7 KG PWM 7076,bintang 5,1,"barang datang dengan aman
kualitas bagus
normal semua
cuma note nya,  lubang filter air mudah lepas kalau dikasih pressure air yang langsung dari pompa air,  jadi filternya. . .  ",barang datang dengan aman kualitas bagus normal semua cuma note nya lubang filter air mudah lepas kalau dikasih pressure air yang langsung dari pompa air jadi filternya,"['barang', 'datang', 'dengan', 'aman', 'kualitas', 'bagus', 'normal', 'semua', 'cuma', 'note', 'nya', 'lubang', 'filter', 'air', 'mudah', 'lepas', 'kalau', 'dikasih', 'pressure', 'air', 'yang', 'langsung', 'dari', 'pompa', 'air', 'jadi', 'filternya']","['barang', 'datang', 'dengan', 'aman', 'kualitas', 'bagus', 'normal', 'semua', 'cuma', 'note', 'nya', 'lubang', 'filter', 'air', 'mudah', 'lepas', 'kalau', 'dikasih', 'pressure', 'air', 'yang', 'langsung', 'dari', 'pompa', 'air', 'jadi', 'filternya']","['barang', 'aman', 'kualitas', 'bagus', 'nya', 'lubang', 'mudah', 'lepas', 'dikasih', 'langsung', 'filternya']","['barang', 'aman', 'kualitas', 'bagus', 'nya', 'lubang', 'mudah', 'lepas', 'kasih', 'langsung', 'filter']",barang aman kualitas bagus nya lubang mudah lepas kasih langsung filter
1 bulan lalu,POLYTRON Kulkas 1 Pintu Belleza Varia 170 liter PRA 17CRX,bintang 5,1,barangnya original 👍 ada garansi resmi desainnya elegan ✨,barangnya original ada garansi resmi desainnya elegan,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'desainnya', 'elegan']","['barangnya', 'original', 'ada', 'garansi', 'resmi', 'desainnya', 'elegan']","['barangnya', 'garansi', 'resmi', 'desainnya', 'elegan']","['barang', 'garansi', 'resmi', 'desain', 'elegan']",barang garansi resmi desain elegan
1 bulan lalu,POLYTRON Kulkas 1 Pintu Beauty metal door 170 liter PRB 179,bintang 5,1,"barang bagus sesuai pesanan, cuma lama banget pengiriman hampir 2 minggu😟",barang bagus sesuai pesanan cuma lama banget pengiriman hampir minggu,"['barang', 'bagus', 'sesuai', 'pesanan', 'cuma', 'lama', 'banget', 'pengiriman', 'hampir', 'minggu']","['barang', 'bagus', 'sesuai', 'pesanan', 'cuma', 'lama', 'banget', 'pengiriman', 'hampir', 'minggu']","['barang', 'bagus', 'sesuai', 'pesanan', 'banget', 'pengiriman', 'minggu']","['barang', 'bagus', 'sesuai', 'pesan', 'banget', 'kirim', 'minggu']",barang bagus sesuai pesan banget kirim minggu
1 bulan lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 5,1,"produk ok,  cuma pemgiriman tidak bisa ke track tokped",produk ok cuma pemgiriman tidak bisa ke track tokped,"['produk', 'ok', 'cuma', 'pemgiriman', 'tidak', 'bisa', 'ke', 'track', 'tokped']","['produk', 'ok', 'cuma', 'pemgiriman', 'tidak', 'bisa', 'ke', 'track', 'tokped']","['produk', 'ok', 'pemgiriman', 'tidak', 'tokped']","['produk', 'ok', 'pemgiriman', 'tidak', 'tokped']",produk ok pemgiriman tidak tokped
1 bulan lalu,POLYTRON Kulkas 1 Pintu Belleza  180 liter PRA 18CMS,bintang 4,1,"kualitas mantab,  harga bersahabat,  customer service ok,  namun pengiriman lambat dan susah dilacak",kualitas mantab harga bersahabat customer service ok namun pengiriman lambat dan susah dilacak,"['kualitas', 'mantab', 'harga', 'bersahabat', 'customer', 'service', 'ok', 'namun', 'pengiriman', 'lambat', 'dan', 'susah', 'dilacak']","['kualitas', 'mantab', 'harga', 'bersahabat', 'customer', 'service', 'ok', 'namun', 'pengiriman', 'lambat', 'dan', 'susah', 'dilacak']","['kualitas', 'mantab', 'harga', 'bersahabat', 'ok', 'pengiriman', 'lambat', 'susah', 'dilacak']","['kualitas', 'mantab', 'harga', 'sahabat', 'ok', 'kirim', 'lambat', 'susah', 'lacak']",kualitas mantab harga sahabat ok kirim lambat susah lacak
1 bulan lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 10 KG PAW 1028,bintang 4,1,belum di coba bagaimana masang dan pakainya,belum di coba bagaimana masang dan pakainya,"['belum', 'di', 'coba', 'bagaimana', 'masang', 'dan', 'pakainya']","['belum', 'di', 'coba', 'bagaimana', 'masang', 'dan', 'pakainya']","['coba', 'masang', 'pakainya']","['coba', 'masang', 'pakai']",coba masang pakai
1 bulan lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 5,1,"tv nya bagus,  gambarnya jernih,  speaker & subwoofer berfungsi dengan baik.  langsung dapat update software pas pertama kali connect ke internet. ",tv nya bagus gambarnya jernih speaker subwoofer berfungsi dengan baik langsung dapat update software pas pertama kali connect ke internet,"['tv', 'nya', 'bagus', 'gambarnya', 'jernih', 'speaker', 'subwoofer', 'berfungsi', 'dengan', 'baik', 'langsung', 'dapat', 'update', 'software', 'pas', 'pertama', 'kali', 'connect', 'ke', 'internet']","['tv', 'nya', 'bagus', 'gambarnya', 'jernih', 'speaker', 'subwoofer', 'berfungsi', 'dengan', 'baik', 'langsung', 'dapat', 'update', 'software', 'pas', 'pertama', 'kali', 'connect', 'ke', 'internet']","['tv', 'nya', 'bagus', 'gambarnya', 'jernih', 'subwoofer', 'berfungsi', 'langsung', 'software', 'pas', 'internet']","['tv', 'nya', 'bagus', 'gambar', 'jernih', 'subwoofer', 'fungsi', 'langsung', 'software', 'pas', 'internet']",tv nya bagus gambar jernih subwoofer fungsi langsung software pas internet
1 bulan lalu,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,bintang 5,1,"barang sampai dengan selamat,  semoga awet,  terimakasih",barang sampai dengan selamat semoga awet terimakasih,"['barang', 'sampai', 'dengan', 'selamat', 'semoga', 'awet', 'terimakasih']","['barang', 'sampai', 'dengan', 'selamat', 'semoga', 'awet', 'terimakasih']","['barang', 'selamat', 'semoga', 'awet', 'terimakasih']","['barang', 'selamat', 'moga', 'awet', 'terimakasih']",barang selamat moga awet terimakasih
1 bulan lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 9 KG PAW 90517,bintang 5,1,"pesanan elektronik ketiga.  puas banget karena pengiriman cepat,  bebas ongkos kirim dan harga jauh lebih murah dibanding seller lain",pesanan elektronik ketiga puas banget karena pengiriman cepat bebas ongkos kirim dan harga jauh lebih murah dibanding seller lain,"['pesanan', 'elektronik', 'ketiga', 'puas', 'banget', 'karena', 'pengiriman', 'cepat', 'bebas', 'ongkos', 'kirim', 'dan', 'harga', 'jauh', 'lebih', 'murah', 'dibanding', 'seller', 'lain']","['pesanan', 'elektronik', 'ketiga', 'puas', 'banget', 'karena', 'pengiriman', 'cepat', 'bebas', 'ongkos', 'kirim', 'dan', 'harga', 'jauh', 'lebih', 'murah', 'dibanding', 'seller', 'lain']","['pesanan', 'elektronik', 'ketiga', 'puas', 'banget', 'pengiriman', 'cepat', 'bebas', 'ongkos', 'kirim', 'harga', 'murah', 'dibanding']","['pesan', 'elektronik', 'tiga', 'puas', 'banget', 'kirim', 'cepat', 'bebas', 'ongkos', 'kirim', 'harga', 'murah', 'banding']",pesan elektronik tiga puas banget kirim cepat bebas ongkos kirim harga murah banding
1 bulan lalu,POLYTRON Kulkas 1 Pintu Beauty Steel 180 liter PRB 187LB,bintang 5,1,sesuai pesanan. .  mantab. . ,sesuai pesanan mantab,"['sesuai', 'pesanan', 'mantab']","['sesuai', 'pesanan', 'mantab']","['sesuai', 'pesanan', 'mantab']","['sesuai', 'pesan', 'mantab']",sesuai pesan mantab
