Tanggal,Produk,Rating,Ulasan,Label,Cleaning
2 minggu lalu,Sanken Rice Cooker 1 Liter SJ-203 Warna Random,bintang 5,pengiriman mantap. .  same day. .  sore sudah sampai. .  produk ok,1,pengiriman mantap same day sore sudah sampai produk ok
2 minggu lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,mantap,1,mantap
2 minggu lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"langsung dites dan hasilnya aman,  semoga awet",1,langsung dites dan hasilnya aman semoga awet
2 minggu lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,"paket cepat datang
kwalitas barang bagus 
semoga pejualan nya semakin sukses",1,paket cepat datang kwalitas barang bagus semoga pejualan nya semakin sukses
2 minggu lalu,Sanken SJ-200 Magic Com 1L -Red,bintang 4,"+  gampang bersihin
-  ukuran 1l ga cukup buat 1 keluarga,  kalo buat anak kos pas nih,  maks 1, 5 hari kalo lebih nasinya jadi kering",1,gampang bersihin ukuran ga cukup buat keluarga kalo buat anak kos pas nih maks hari kalo lebih nasinya jadi kering
2 minggu lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,bagus barang jos,1,bagus barang jos
2 minggu lalu,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 4,"produk bagus,  original,  diskon besar dapat 
pengiriman dan kurir lama",1,produk bagus original diskon besar dapat pengiriman dan kurir lama
2 minggu lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,barang sudah sampai,1,barang sudah sampai
2 minggu lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,"barang oke.  walau bagian belakang agak kurang rapat yaa.  air panas berfungsi.  air dingin bekerja.  order malem,  besok siangnya dateng. ",1,barang oke walau bagian belakang agak kurang rapat yaa air panas berfungsi air dingin bekerja order malem besok siangnya dateng
2 minggu lalu,Sanken Dispenser Duo Galon Bawah Atas HWD-Z79IC Xatria Pro Series,bintang 5,"barang sampai bandar lampung dengan aman.  semua berfungsi dengan normal.  semoga awet,  aamiin",1,barang sampai bandar lampung dengan aman semua berfungsi dengan normal semoga awet aamiin
2 minggu lalu,Sanken SJ-2000M-LG Magic Com 1.8 L Light Green,bintang 5,"sudah sampai dengan aman,  packing aman",1,sudah sampai dengan aman packing aman
2 minggu lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"sejauh ini,  semoga awet. ",1,sejauh ini semoga awet
3 minggu lalu,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,bintang 5,"barang sampai dengan aman,  kurir toko ramah dan sangat membantu",1,barang sampai dengan aman kurir toko ramah dan sangat membantu
3 minggu lalu,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,"setelah dipakai beberapa kali barang nya ok lah sangat bermanfaat,  thanks",1,setelah dipakai beberapa kali barang nya ok lah sangat bermanfaat thanks
3 minggu lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,oke pake bagettt👍🏻👍🏻,1,oke pake bagettt
3 minggu lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,sampai dengan selamat barangnya tanpa rusak,1,sampai dengan selamat barangnya tanpa rusak
3 minggu lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,telah diterima dengan baik masih dalam box. ,1,telah diterima dengan baik masih dalam box
3 minggu lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,barang original keren,1,barang original keren
3 minggu lalu,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 3,"mungkin masalah dari pengiriman, ,  dan lupa di video efek di unboxin ortu",0,mungkin masalah dari pengiriman dan lupa di video efek di unboxin ortu
3 minggu lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,"alhamdulillah barang sampai dengan selamat dan berfungsi dengan baik.  
semoga awet. .  aamiin",1,alhamdulillah barang sampai dengan selamat dan berfungsi dengan baik semoga awet aamiin
3 minggu lalu,Sanken SG-369 DX2 Kompor Gas 2 Tungku,bintang 5,"sedaaaap.  kompor terbaik,  tungku api besar,  ada api lilin dan yg paliiiing penting,  permukaan kaca yg mudah bgt dibersihin.  mantaaap❤️",1,sedaaaap kompor terbaik tungku api besar ada api lilin dan yg paliiiing penting permukaan kaca yg mudah bgt dibersihin mantaaap
3 minggu lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,alhamdulillah barang sdh sampai. . . semoga berfungsi dengan baik dan awet. . . terimakasih. . . ,1,alhamdulillah barang sdh sampai semoga berfungsi dengan baik dan awet terimakasih
3 minggu lalu,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 5,pengiriman hanya di hari kerja.  cepat. ,1,pengiriman hanya di hari kerja cepat
3 minggu lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"putaran bagus, body agak ringkih",1,putaran bagus body agak ringkih
3 minggu lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 4,"beratnya mantap,  nggak perlu ditekan.  tapi sedotannya manaaa. . . . ?🥺",1,beratnya mantap nggak perlu ditekan tapi sedotannya manaaa
3 minggu lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"overall mantab,  langsung sat set seller nya",1,overall mantab langsung sat set seller nya
3 minggu lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,"bagus
ga penyok
dah mendarat di sorong papua barat daya",1,bagus ga penyok dah mendarat di sorong papua barat daya
3 minggu lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,barang ori dan berfungsi dengan baik,1,barang ori dan berfungsi dengan baik
3 minggu lalu,Sanken TW-1127GSL Mesin cuci 2 tabung 9KG Chrome Handle,bintang 5,👍🏻,1,
3 minggu lalu,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,"pengiriman cepat,  packaging,  layanan dan produk bagus",1,pengiriman cepat packaging layanan dan produk bagus
4 minggu lalu,Dispenser Sanken Duo Gallon DA-21G Dispenser Galon Bawah Atas,bintang 5,"brg sdh di trm dgn baik,  sudah sy tes jg smw berfungsi normal,  smoga awet,  trmksh sanken ,  sukses selalu",1,brg sdh di trm dgn baik sudah sy tes jg smw berfungsi normal smoga awet trmksh sanken sukses selalu
4 minggu lalu,Sanken AW-S866PP Mesin Cuci Top Loading 7KG,bintang 5,"makasih barang sudah sampai,  mudah- mudahan awet",1,makasih barang sudah sampai mudah mudahan awet
4 minggu lalu,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 5,"kualitas bagus,  designnya bagus,  dan dinginnya mantap",1,kualitas bagus designnya bagus dan dinginnya mantap
4 minggu lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,barang sudah diterima dengan baik.  langsung di coba.  semoga awet dan tahan lama,1,barang sudah diterima dengan baik langsung di coba semoga awet dan tahan lama
4 minggu lalu,Sanken 32 Inch Smart LED TV FHD SLE-32SH101SC Digital TV Dolby Audio,bintang 3,"khusus produk tv baik namun sayang sekali yang dikirim tidak sesuai dengan deskripsi seharusnya yang didapat (tidak lengkap),  sudah ajukan komplain ternyata di approve un. . .  ",0,khusus produk tv baik namun sayang sekali yang dikirim tidak sesuai dengan deskripsi seharusnya yang didapat tidak lengkap sudah ajukan komplain ternyata di approve un
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"samapi dengan cepat dan selamat,  cuma kurirnya selesai sampai kirim aja. 
klo pasang keran kita sendiri.  beda klo sama beli ditoko langsung",1,samapi dengan cepat dan selamat cuma kurirnya selesai sampai kirim aja klo pasang keran kita sendiri beda klo sama beli ditoko langsung
1 bulan lalu,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 5,"respon seller baik menyarankan mana yang terbaik,  sukses selalu buat toko",1,respon seller baik menyarankan mana yang terbaik sukses selalu buat toko
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 4,"barang sesuai spesifikasi dan kondisi baik.  hanya saja biaya ekstra pengantaran barang seperti tol dan parkir dibebankan kepada customer yg menerima,  walaupun sudah memba. . .  ",1,barang sesuai spesifikasi dan kondisi baik hanya saja biaya ekstra pengantaran barang seperti tol dan parkir dibebankan kepada customer yg menerima walaupun sudah memba
1 bulan lalu,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,"bagus,  cuma agak peyok di bagian depannya",1,bagus cuma agak peyok di bagian depannya
1 bulan lalu,Sanken Rice Cooker 1 Liter SJ-120H,bintang 5,01 amin anies -  muhaimin,1,amin anies muhaimin
1 bulan lalu,Sanken HWD-Z88 Water Dispenser Duo gallon,bintang 5,okay,1,okay
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,sip.  engine purr like kitten.  gearbox smooth.  open filter.  overall ready to race,1,sip engine purr like kitten gearbox smooth open filter overall ready to race
1 bulan lalu,Sanken DD-60 Dish Dryer,bintang 5,produk dikirim aman dan selamat semua. . berfungsi dengan sangat baik dan muat banyak. . memuaskan. .  thanks seller,1,produk dikirim aman dan selamat semua berfungsi dengan sangat baik dan muat banyak memuaskan thanks seller
1 bulan lalu,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,cepat dan barangnya bagus,1,cepat dan barangnya bagus
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-L130SS-WH Oasis Stainless Steel,bintang 5,"cakep,  fast response dan fast delivery juga…semoga sanken tetap mempertahankan quality dan servicenya jg keren. ",1,cakep fast response dan fast delivery juga semoga sanken tetap mempertahankan quality dan servicenya jg keren
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 3,lampu uvnya tidak mau nyala,0,lampu uvnya tidak mau nyala
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,barang sudah sampai dengan selamat terima kasih🙏🏻🙏🏻sukses selalu untuk tokonya🙏🏻🙏🏻,1,barang sudah sampai dengan selamat terima kasih sukses selalu untuk tokonya
1 bulan lalu,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,bintang 2,"barang sedikit bermasalah didatengkan teknisi setelah ber minggu2,  teknisi jg ogah2an kerjanya dan pelayanannya sampe dirumah kulkas gk diapa2in tp yaudah mau gimana lg. . . .  ",0,barang sedikit bermasalah didatengkan teknisi setelah ber minggu teknisi jg ogahan kerjanya dan pelayanannya sampe dirumah kulkas gk diapain tp yaudah mau gimana lg
1 bulan lalu,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,bintang 5,kiriman cepat,1,kiriman cepat
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,mantap vacuum yang terdapat uv agar bakteri hempas,1,mantap vacuum yang terdapat uv agar bakteri hempas
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 4,"pengiriman cepat dan admin fast response. 
air panas berfungsi normal tapi air dinginnya kurang memuaskan. 
kalau anda penyuka minum air dingin,  dispenser ini akan terasa k. . .  ",1,pengiriman cepat dan admin fast response air panas berfungsi normal tapi air dinginnya kurang memuaskan kalau anda penyuka minum air dingin dispenser ini akan terasa
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,semoga awet 😎👍🏻,1,semoga awet
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 1,"barang baru dipake 1 bulan sudah rusak.  dibawa ke service center dari akhir november sampai saat ini ngga ada kejelasan katanya menunggu sparepart, di wa untuk tanya statu. . .  ",0,barang baru dipake bulan sudah rusak dibawa ke service center dari akhir november sampai saat ini ngga ada kejelasan katanya menunggu sparepart di wa untuk tanya statu
1 bulan lalu,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,ok,1,ok
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"barang sudah sampai dan sesuai,  semoga awet,  terima kasih",1,barang sudah sampai dan sesuai semoga awet terima kasih
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,ok,1,ok
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"respon cepat pengiriman cepat ,  belum. dicoba mudah mudahan awet. . ",1,respon cepat pengiriman cepat belum dicoba mudah mudahan awet
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,ok,1,ok
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"barangnya bagus,  desainnya keren,  tenaga motor mesinnya mantap",1,barangnya bagus desainnya keren tenaga motor mesinnya mantap
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,"respon cepat,  produk bagus.  recommended 👍👍👍",1,respon cepat produk bagus recommended
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 5,sangat membantu untuk menstrilkan botol susu bayi,1,sangat membantu untuk menstrilkan botol susu bayi
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,terimakasih. . . . . ,1,terimakasih
1 bulan lalu,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,bintang 5,"respon cs kurang memuaskan. . agak lama balasnya. . 
proses pemesanan jg harus tunggu waktu masuk kerja. . padahal balas chat ttp berjalan. . . kan bs y di accept dl. . kirim setela. . .  ",1,respon cs kurang memuaskan agak lama balasnya proses pemesanan jg harus tunggu waktu masuk kerja padahal balas chat ttp berjalan kan bs di accept dl kirim setela
1 bulan lalu,Sanken HWD-Z96 Water Dispenser Duo gallon,bintang 5,mantab,1,mantab
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,luar biasa pelayanannya,1,luar biasa pelayanannya
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,krn kurir toko.  jd aman.  tp lama bgt nunggu jadwalny,1,krn kurir toko jd aman tp lama bgt nunggu jadwalny
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"mantap

bagus",1,mantap bagus
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,buat kado.  tmn ku seneng.  pengirimannya cpt krn pake instan dan aman. .  respon admin cukup baik aku nny2 sbar jawabnya.  terima kasih,1,buat kado tmn ku seneng pengirimannya cpt krn pake instan dan aman respon admin cukup baik aku nny sbar jawabnya terima kasih
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,barangnya okay . . . cuma barangnya agak lama sampainya. ,1,barangnya okay cuma barangnya agak lama sampainya
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,mantap,1,mantap
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 5,oke,1,oke
1 bulan lalu,Sanken Microwave MO-200BK 20 Liter Hitam,bintang 1,piring kaca tidak dikemas dengan baik.  akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,0,piring kaca tidak dikemas dengan baik akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal
1 bulan lalu,Sanken SJ-130H Magic Com 1L - Black,bintang 5,"sesuai pesanan,  diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus).  semoga kompor dan rice cooker sanken kualitasnya ok da. . .  ",1,sesuai pesanan diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan tak ada penyok di kardus semoga kompor dan rice cooker sanken kualitasnya ok da
1 bulan lalu,Sanken SG-363 Kompor Gas 2 Tungku Kaca Kompor Dua Tungku,bintang 5,"sesuai pesanan,  diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus).  semoga kompor dan rice cooker sanken kualitasnya ok da. . .  ",1,sesuai pesanan diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan tak ada penyok di kardus semoga kompor dan rice cooker sanken kualitasnya ok da
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,brg sesuai spek dan telah berfungsi dgn baik.  semoga awet. ,1,brg sesuai spek dan telah berfungsi dgn baik semoga awet
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,works just fine.  hisapan kuat.  mantap,1,works just fine hisapan kuat mantap
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,"original brand nya sudah di coba dan berfungsi dengan baik.  sudah di coba,  sesuai dengan deskripsi nya",1,original brand nya sudah di coba dan berfungsi dengan baik sudah di coba sesuai dengan deskripsi nya
1 bulan lalu,Dispenser Sanken Galon Bawah DB-20G Dispenser Bottom Loading,bintang 3,engga tau qanya gimana sebelum di kirim.  tapi saat mau di pakai langsung bocor.  hubungin sales langsung di arahkan ke service center.  kasih bintang 3 karena service cente. . .  ,0,engga tau qanya gimana sebelum di kirim tapi saat mau di pakai langsung bocor hubungin sales langsung di arahkan ke service center kasih bintang karena service cente
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"barang baik,  pengiriman dan respon cepat.  mantab. . . ",1,barang baik pengiriman dan respon cepat mantab
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,mantab,1,mantab
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,barang bagus,1,barang bagus
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,bintang 5,"alhamdulillaah barabg sdh sampe dgn aman,  masyaalloh tabarokalloh,  bagus,  mulus, tanpa lecet,  barang original sanken,  untuk tombol panas,  normal,  dingin semua berfungsi dg. . .  ",1,alhamdulillaah barabg sdh sampe dgn aman masyaalloh tabarokalloh bagus mulus tanpa lecet barang original sanken untuk tombol panas normal dingin semua berfungsi dg
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,"sudah dicoba aman berfungsi
pengiriman cepat",1,sudah dicoba aman berfungsi pengiriman cepat
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"barang oroginal,  berfungsi baik,  sudah di pakai cuci mantap. . .  pengiriman cepat. . .  👍👍👍",1,barang oroginal berfungsi baik sudah di pakai cuci mantap pengiriman cepat
1 bulan lalu,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 5,barang orinal jadi dapat garansi. . .  mantap,1,barang orinal jadi dapat garansi mantap
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,"respond cepat,  qualitas sesuai harga",1,respond cepat qualitas sesuai harga
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,bintang 5,"despenser sesuai pesanan,  bahan berkualitas,  dinginnya joss dan panasnya pas buat bikin kopi dan seduh pop mie",1,despenser sesuai pesanan bahan berkualitas dinginnya joss dan panasnya pas buat bikin kopi dan seduh pop mie
1 bulan lalu,Dispenser Sanken Galon Bawah HWD-C555IC Dispenser Bottom Loading,bintang 5,"barang bagus,  pengiriman cepat,  sesuai deskripsi.  belum di coba sih",1,barang bagus pengiriman cepat sesuai deskripsi belum di coba sih
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,pesan pakai instant di kirim pakai mobil.  fast respon,1,pesan pakai instant di kirim pakai mobil fast respon
1 bulan lalu,Sanken SK-V231A-CB Kulkas 2 Pintu,bintang 5,"barang original,  pengiriman cepat,  garansi,   tidak lecet dan kualitas bagus!",1,barang original pengiriman cepat garansi tidak lecet dan kualitas bagus
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,mesin cuci berfungsi dengan baik. .  berkualitas. ,1,mesin cuci berfungsi dengan baik berkualitas
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"sudah sampai,  makasih banyak,  semoga awet dah",1,sudah sampai makasih banyak semoga awet dah
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"pengiriman cepat,  ready stock,  kondisi barang baik",1,pengiriman cepat ready stock kondisi barang baik
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 5,penjual sangat komunikatif dan solutif pada saat saya buru2 untuk pengiriman barang.  fast response. ,1,penjual sangat komunikatif dan solutif pada saat saya buru untuk pengiriman barang fast response
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 1,tatakan gelas terlepas. . .  mungkin next bisa di beri isolasi atau pengaman lain nya. . .  dan diberitahukan kepada kurir kalau posisi barang tidak bisa di bolak balik.  ini sa. . .  ,0,tatakan gelas terlepas mungkin next bisa di beri isolasi atau pengaman lain nya dan diberitahukan kepada kurir kalau posisi barang tidak bisa di bolak balik ini sa
1 bulan lalu,Dispenser Sanken Galon Bawah HWD-C106 Dispenser Bottom Loading,bintang 5,bismillah semoga awet. .  🤲🤗,1,bismillah semoga awet
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 3,paketnya sudah sampe dan saya terima tapi pengirimannya bukan melalui kargo tapi lewat kurir motor mohon ke depannya diperhatikan lagi pengirimannya min untung kompresorn. . .  ,0,paketnya sudah sampe dan saya terima tapi pengirimannya bukan melalui kargo tapi lewat kurir motor mohon ke depannya diperhatikan lagi pengirimannya min untung kompresorn
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,bintang 5,"so far aman,  secara fisik baik,  fungsi normal,  semoga awet dan mudah klaimnya jika ada masalah",1,so far aman secara fisik baik fungsi normal semoga awet dan mudah klaimnya jika ada masalah
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,ok mantab,1,ok mantab
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,kualitas barang baik,1,kualitas barang baik
1 bulan lalu,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,bintang 5,"brg ori,  garansi.  brg 👍👍,  toko jg 👍👍",1,brg ori garansi brg toko jg
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"barang sudah sampai sesuai estimasi. 
pengiriman sesuai estimasi waktu",1,barang sudah sampai sesuai estimasi pengiriman sesuai estimasi waktu
1 bulan lalu,Sanken DD-68 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 5,"barang bagus,  pengiriman cepat. ",1,barang bagus pengiriman cepat
1 bulan lalu,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,ibu gw suka👍,1,ibu gw suka
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 4,barang bagus tapi garansi tidak ada cap tokonya,1,barang bagus tapi garansi tidak ada cap tokonya
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"produk orisinil,  bergaransi. . . bagus dan puas",1,produk orisinil bergaransi bagus dan puas
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,semua berfungsi dengan bai dan sesuai semua,1,semua berfungsi dengan bai dan sesuai semua
1 bulan lalu,Sanken HWE-67C Dispenser IC-Cool,bintang 5,"recommended seller pokoknya,  sesuai pesanan dan deskripsi,  packing aman full bubelwrap,  barang berfungsi baik hoot norma cool,  original produk sanken,  terima kasih tokope. . .  ",1,recommended seller pokoknya sesuai pesanan dan deskripsi packing aman full bubelwrap barang berfungsi baik hoot norma cool original produk sanken terima kasih tokope
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,saler sat set 3 jam sampai di depok,1,saler sat set jam sampai di depok
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,sesuai pesanan,1,sesuai pesanan
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"barang original,  and good 👍",1,barang original and good
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,berfungsi dgn baik.  kondisinya mulus. ,1,berfungsi dgn baik kondisinya mulus
1 bulan lalu,Sanken FS-800BK Kipas Angin,bintang 5,berfungsi dgn baik,1,berfungsi dgn baik
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,bagus lah!,1,bagus lah
1 bulan lalu,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,"barang sudah diterima sesuai pesanan,  namun blm di coba",1,barang sudah diterima sesuai pesanan namun blm di coba
1 bulan lalu,Sanken HWE-67C Dispenser IC-Cool,bintang 4,terima kasih sudah tepat waktu mengirimkan walaupun hanya 3 unit,1,terima kasih sudah tepat waktu mengirimkan walaupun hanya unit
1 bulan lalu,Sanken HWE-69CW Dispenser IC-Cool,bintang 4,terima kasih sudah tepat waktu mengirimkan walaupun hanya 3 unit,1,terima kasih sudah tepat waktu mengirimkan walaupun hanya unit
1 bulan lalu,Sanken HWE-69BL Dispenser IC-Cool,bintang 1,saya kecewa dengan sistematika pengirimannya.  barang dikirim terpisah dengan 3 unit lainnya dan pembeli harus menanggung ongkir sendiri dengan memesan gosend sendiri supa. . .  ,0,saya kecewa dengan sistematika pengirimannya barang dikirim terpisah dengan unit lainnya dan pembeli harus menanggung ongkir sendiri dengan memesan gosend sendiri supa
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 3,"we had terrible experience with the chosen courier (gocar).  mr yusuf deliberately asked for toll money. 

please review his performance : ****************",0,we had terrible experience with the chosen courier gocar mr yusuf deliberately asked for toll money please review his performance
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,semoga awet,1,semoga awet
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 1,barang rusak penyok,0,barang rusak penyok
