Tanggal,Produk,Ulasan,Cleaning,Tokenizing,Normalisasi
3 minggu lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,"bagus
ga penyok
dah mendarat di sorong papua barat daya",bagus ga penyok dah mendarat di sorong papua barat daya,"['bagus', 'ga', 'penyok', 'dah', 'mendarat', 'di', 'sorong', 'papua', 'barat', 'daya']","['bagus', 'enggak', 'penyok', 'deh', 'mendarat', 'di', 'sorong', 'papua', 'barat', 'daya']"
3 minggu lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,barang ori dan berfungsi dengan baik,barang ori dan berfungsi dengan baik,"['barang', 'ori', 'dan', 'berfungsi', 'dengan', 'baik']","['barang', 'orisinal', 'dan', 'berfungsi', 'dengan', 'baik']"
3 minggu lalu,Sanken TW-1127GSL Mesin cuci 2 tabung 9KG Chrome Handle,👍🏻, ,"['', '']","['', '']"
3 minggu lalu,Sanken SJ-3030BK Magic Com 2L - Black,"pengiriman cepat,  packaging,  layanan dan produk bagus",pengiriman cepat packaging layanan dan produk bagus,"['pengiriman', 'cepat', 'packaging', 'layanan', 'dan', 'produk', 'bagus']","['pengiriman', 'cepat', 'packaging', 'layanan', 'dan', 'produk', 'bagus']"
4 minggu lalu,Dispenser Sanken Duo Gallon DA-21G Dispenser Galon Bawah Atas,"brg sdh di trm dgn baik,  sudah sy tes jg smw berfungsi normal,  smoga awet,  trmksh sanken ,  sukses selalu",brg sdh di trm dgn baik sudah sy tes jg smw berfungsi normal smoga awet trmksh sanken sukses selalu,"['brg', 'sdh', 'di', 'trm', 'dgn', 'baik', 'sudah', 'sy', 'tes', 'jg', 'smw', 'berfungsi', 'normal', 'smoga', 'awet', 'trmksh', 'sanken', 'sukses', 'selalu']","['bareng', 'sudah', 'di', 'trm', 'dengan', 'baik', 'sudah', 'saya', 'tes', 'juga', 'semua', 'berfungsi', 'normal', 'semoga', 'awet', 'trmksh', 'sanken', 'sukses', 'selalu']"
4 minggu lalu,Sanken AW-S866PP Mesin Cuci Top Loading 7KG,"makasih barang sudah sampai,  mudah-mudahan awet",makasih barang sudah sampai mudahmudahan awet,"['makasih', 'barang', 'sudah', 'sampai', 'mudahmudahan', 'awet']","['terima kasih', 'barang', 'sudah', 'sampai', 'mudahmudahan', 'awet']"
4 minggu lalu,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,"kualitas bagus,  designnya bagus,  dan dinginnya mantap",kualitas bagus designnya bagus dan dinginnya mantap,"['kualitas', 'bagus', 'designnya', 'bagus', 'dan', 'dinginnya', 'mantap']","['kualitas', 'bagus', 'designnya', 'bagus', 'dan', 'dinginnya', 'mantap']"
4 minggu lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,barang sudah diterima dengan baik.  langsung di coba.  semoga awet dan tahan lama,barang sudah diterima dengan baik langsung di coba semoga awet dan tahan lama,"['barang', 'sudah', 'diterima', 'dengan', 'baik', 'langsung', 'di', 'coba', 'semoga', 'awet', 'dan', 'tahan', 'lama']","['barang', 'sudah', 'diterima', 'dengan', 'baik', 'langsung', 'di', 'coba', 'semoga', 'awet', 'dan', 'tahan', 'lama']"
4 minggu lalu,Sanken 32 Inch Smart LED TV FHD SLE-32SH101SC Digital TV Dolby Audio,"khusus produk tv baik namun sayang sekali yang dikirim tidak sesuai dengan deskripsi seharusnya yang didapat (tidak lengkap),  sudah ajukan komplain ternyata di approve un. . .  ",khusus produk tv baik namun sayang sekali yang dikirim tidak sesuai dengan deskripsi seharusnya yang didapat tidak lengkap sudah ajukan komplain ternyata di approve un ,"['khusus', 'produk', 'tv', 'baik', 'namun', 'sayang', 'sekali', 'yang', 'dikirim', 'tidak', 'sesuai', 'dengan', 'deskripsi', 'seharusnya', 'yang', 'didapat', 'tidak', 'lengkap', 'sudah', 'ajukan', 'komplain', 'ternyata', 'di', 'approve', 'un', '']","['khusus', 'produk', 'tv', 'baik', 'namun', 'sayang', 'sekali', 'yang', 'dikirim', 'tidak', 'sesuai', 'dengan', 'deskripsi', 'seharusnya', 'yang', 'didapat', 'tidak', 'lengkap', 'sudah', 'ajukan', 'komplain', 'ternyata', 'di', 'approve', 'un', '']"
4 minggu lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,"samapi dengan cepat dan selamat,  cuma kurirnya selesai sampai kirim aja. 
klo pasang keran kita sendiri.  beda klo sama beli ditoko langsung",samapi dengan cepat dan selamat cuma kurirnya selesai sampai kirim aja klo pasang keran kita sendiri beda klo sama beli ditoko langsung,"['samapi', 'dengan', 'cepat', 'dan', 'selamat', 'cuma', 'kurirnya', 'selesai', 'sampai', 'kirim', 'aja', 'klo', 'pasang', 'keran', 'kita', 'sendiri', 'beda', 'klo', 'sama', 'beli', 'ditoko', 'langsung']","['samapi', 'dengan', 'cepat', 'dan', 'selamat', 'cuma', 'kurirnya', 'selesai', 'sampai', 'kirim', 'saja', 'kalo', 'pasang', 'keran', 'kita', 'sendiri', 'beda', 'kalo', 'sama', 'beli', 'ditoko', 'langsung']"
4 minggu lalu,Sanken SJ-2500BK Magic Com 1.8L Hitam,"respon seller baik menyarankan mana yang terbaik,  sukses selalu buat toko",respon seller baik menyarankan mana yang terbaik sukses selalu buat toko,"['respon', 'seller', 'baik', 'menyarankan', 'mana', 'yang', 'terbaik', 'sukses', 'selalu', 'buat', 'toko']","['respon', 'seller', 'baik', 'menyarankan', 'mana', 'yang', 'terbaik', 'sukses', 'selalu', 'buat', 'toko']"
4 minggu lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,"barang sesuai spesifikasi dan kondisi baik.  hanya saja biaya ekstra pengantaran barang seperti tol dan parkir dibebankan kepada customer yg menerima,  walaupun sudah memba. . .  ",barang sesuai spesifikasi dan kondisi baik hanya saja biaya ekstra pengantaran barang seperti tol dan parkir dibebankan kepada customer yg menerima walaupun sudah memba ,"['barang', 'sesuai', 'spesifikasi', 'dan', 'kondisi', 'baik', 'hanya', 'saja', 'biaya', 'ekstra', 'pengantaran', 'barang', 'seperti', 'tol', 'dan', 'parkir', 'dibebankan', 'kepada', 'customer', 'yg', 'menerima', 'walaupun', 'sudah', 'memba', '']","['barang', 'sesuai', 'spesifikasi', 'dan', 'kondisi', 'baik', 'hanya', 'saja', 'biaya', 'ekstra', 'pengantaran', 'barang', 'seperti', 'tol', 'dan', 'parkir', 'dibebankan', 'kepada', 'customer', 'yang', 'menerima', 'walaupun', 'sudah', 'memba', '']"
1 bulan lalu,Sanken SJ-3030BK Magic Com 2L - Black,"bagus,  cuma agak peyok di bagian depannya",bagus cuma agak peyok di bagian depannya,"['bagus', 'cuma', 'agak', 'peyok', 'di', 'bagian', 'depannya']","['bagus', 'cuma', 'agak', 'peyok', 'di', 'bagian', 'depannya']"
1 bulan lalu,Sanken Rice Cooker 1 Liter SJ-120H,01 amin anies - muhaimin, amin anies muhaimin,"['', 'amin', 'anies', 'muhaimin']","['', 'amin', 'anies', 'muhaimin']"
1 bulan lalu,Sanken HWD-Z88 Water Dispenser Duo gallon,okay,okay,['okay'],['okay']
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,sip.  engine purr like kitten.  gearbox smooth.  open filter.  overall ready to race,sip engine purr like kitten gearbox smooth open filter overall ready to race,"['sip', 'engine', 'purr', 'like', 'kitten', 'gearbox', 'smooth', 'open', 'filter', 'overall', 'ready', 'to', 'race']","['sip', 'engine', 'purr', 'like', 'kitten', 'gearbox', 'smooth', 'open', 'filter', 'overall', 'ready', 'tapi', 'race']"
1 bulan lalu,Sanken DD-60 Dish Dryer,produk dikirim aman dan selamat semua. . berfungsi dengan sangat baik dan muat banyak. . memuaskan. .  thanks seller,produk dikirim aman dan selamat semua berfungsi dengan sangat baik dan muat banyak memuaskan thanks seller,"['produk', 'dikirim', 'aman', 'dan', 'selamat', 'semua', 'berfungsi', 'dengan', 'sangat', 'baik', 'dan', 'muat', 'banyak', 'memuaskan', 'thanks', 'seller']","['produk', 'dikirim', 'aman', 'dan', 'selamat', 'semua', 'berfungsi', 'dengan', 'sangat', 'baik', 'dan', 'muat', 'banyak', 'memuaskan', 'thanks', 'seller']"
1 bulan lalu,Sanken SJ-3030BK Magic Com 2L - Black,cepat dan barangnya bagus,cepat dan barangnya bagus,"['cepat', 'dan', 'barangnya', 'bagus']","['cepat', 'dan', 'barangnya', 'bagus']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-L130SS-WH Oasis Stainless Steel,"cakep,  fast response dan fast delivery juga…semoga sanken tetap mempertahankan quality dan servicenya jg keren. ",cakep fast response dan fast delivery juga semoga sanken tetap mempertahankan quality dan servicenya jg keren ,"['cakep', 'fast', 'response', 'dan', 'fast', 'delivery', 'juga', 'semoga', 'sanken', 'tetap', 'mempertahankan', 'quality', 'dan', 'servicenya', 'jg', 'keren', '']","['cakep', 'fast', 'response', 'dan', 'fast', 'delivery', 'juga', 'semoga', 'sanken', 'tetap', 'mempertahankan', 'quality', 'dan', 'servicenya', 'juga', 'keren', '']"
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,lampu uvnya tidak mau nyala,lampu uvnya tidak mau nyala,"['lampu', 'uvnya', 'tidak', 'mau', 'nyala']","['lampu', 'uvnya', 'tidak', 'mau', 'nyala']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,barang sudah sampai dengan selamat terima kasih🙏🏻🙏🏻sukses selalu untuk tokonya🙏🏻🙏🏻,barang sudah sampai dengan selamat terima kasih sukses selalu untuk tokonya ,"['barang', 'sudah', 'sampai', 'dengan', 'selamat', 'terima', 'kasih', 'sukses', 'selalu', 'untuk', 'tokonya', '']","['barang', 'sudah', 'sampai', 'dengan', 'selamat', 'terima', 'kasih', 'sukses', 'selalu', 'untuk', 'tokonya', '']"
1 bulan lalu,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,"barang sedikit bermasalah didatengkan teknisi setelah ber minggu2,  teknisi jg ogah2an kerjanya dan pelayanannya sampe dirumah kulkas gk diapa2in tp yaudah mau gimana lg. . . .  ",barang sedikit bermasalah didatengkan teknisi setelah ber minggu teknisi jg ogahan kerjanya dan pelayanannya sampe dirumah kulkas gk diapain tp yaudah mau gimana lg ,"['barang', 'sedikit', 'bermasalah', 'didatengkan', 'teknisi', 'setelah', 'ber', 'minggu', 'teknisi', 'jg', 'ogahan', 'kerjanya', 'dan', 'pelayanannya', 'sampe', 'dirumah', 'kulkas', 'gk', 'diapain', 'tp', 'yaudah', 'mau', 'gimana', 'lg', '']","['barang', 'sedikit', 'bermasalah', 'didatenenggakan', 'teknisi', 'setelah', 'ber', 'minggu', 'teknisi', 'juga', 'ogahan', 'kerjanya', 'dan', 'pelayanannya', 'sampai', 'dirumah', 'kulkas', 'enggak', 'diapakan', 'tapi', 'yaudah', 'mau', 'bagaimana', 'lagi', '']"
1 bulan lalu,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,kiriman cepat,kiriman cepat,"['kiriman', 'cepat']","['kiriman', 'cepat']"
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,mantap vacuum yang terdapat uv agar bakteri hempas,mantap vacuum yang terdapat uv agar bakteri hempas,"['mantap', 'vacuum', 'yang', 'terdapat', 'uv', 'agar', 'bakteri', 'hempas']","['mantap', 'vacuum', 'yang', 'terdapat', 'uv', 'agar', 'bakteri', 'hempas']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,"pengiriman cepat dan admin fast response. 
air panas berfungsi normal tapi air dinginnya kurang memuaskan. 
kalau anda penyuka minum air dingin,  dispenser ini akan terasa k. . .  ",pengiriman cepat dan admin fast response air panas berfungsi normal tapi air dinginnya kurang memuaskan kalau anda penyuka minum air dingin dispenser ini akan terasa  ,"['pengiriman', 'cepat', 'dan', 'admin', 'fast', 'response', 'air', 'panas', 'berfungsi', 'normal', 'tapi', 'air', 'dinginnya', 'kurang', 'memuaskan', 'kalau', 'anda', 'penyuka', 'minum', 'air', 'dingin', 'dispenser', 'ini', 'akan', 'terasa', '', '']","['pengiriman', 'cepat', 'dan', 'admin', 'fast', 'response', 'air', 'panas', 'berfungsi', 'normal', 'tapi', 'air', 'dinginnya', 'kurang', 'memuaskan', 'kalau', 'anda', 'penyuka', 'minum', 'air', 'dingin', 'dispenser', 'ini', 'akan', 'terasa', '', '']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,semoga awet 😎👍🏻,semoga awet ,"['semoga', 'awet', '']","['semoga', 'awet', '']"
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,"barang baru dipake 1 bulan sudah rusak.  dibawa ke service center dari akhir november sampai saat ini ngga ada kejelasan katanya menunggu sparepart, di wa untuk tanya statu. . .  ",barang baru dipake bulan sudah rusak dibawa ke service center dari akhir november sampai saat ini ngga ada kejelasan katanya menunggu sparepart di wa untuk tanya statu ,"['barang', 'baru', 'dipake', 'bulan', 'sudah', 'rusak', 'dibawa', 'ke', 'service', 'center', 'dari', 'akhir', 'november', 'sampai', 'saat', 'ini', 'ngga', 'ada', 'kejelasan', 'katanya', 'menunggu', 'sparepart', 'di', 'wa', 'untuk', 'tanya', 'statu', '']","['barang', 'baru', 'dipakai', 'bulan', 'sudah', 'rusak', 'dibawa', 'ke', 'service', 'center', 'dari', 'akhir', 'november', 'sampai', 'saat', 'ini', 'enggak', 'ada', 'kejelasan', 'katanya', 'menunggu', 'sparepart', 'di', 'wa', 'untuk', 'tanya', 'statu', '']"
1 bulan lalu,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,ok,ok,['ok'],['ok']
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,"barang sudah sampai dan sesuai,  semoga awet,  terima kasih",barang sudah sampai dan sesuai semoga awet terima kasih,"['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'semoga', 'awet', 'terima', 'kasih']","['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'semoga', 'awet', 'terima', 'kasih']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,ok,ok,['ok'],['ok']
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"respon cepat pengiriman cepat ,  belum. dicoba mudah mudahan awet. . ",respon cepat pengiriman cepat belum dicoba mudah mudahan awet ,"['respon', 'cepat', 'pengiriman', 'cepat', 'belum', 'dicoba', 'mudah', 'mudahan', 'awet', '']","['respon', 'cepat', 'pengiriman', 'cepat', 'belum', 'dicoba', 'mudah', 'mudahan', 'awet', '']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,ok,ok,['ok'],['ok']
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"barangnya bagus,  desainnya keren,  tenaga motor mesinnya mantap",barangnya bagus desainnya keren tenaga motor mesinnya mantap,"['barangnya', 'bagus', 'desainnya', 'keren', 'tenaga', 'motor', 'mesinnya', 'mantap']","['barangnya', 'bagus', 'desainnya', 'keren', 'tenaga', 'motor', 'mesinnya', 'mantap']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,"respon cepat,  produk bagus.  recommended 👍👍👍",respon cepat produk bagus recommended ,"['respon', 'cepat', 'produk', 'bagus', 'recommended', '']","['respon', 'cepat', 'produk', 'bagus', 'recommended', '']"
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,sangat membantu untuk menstrilkan botol susu bayi,sangat membantu untuk menstrilkan botol susu bayi,"['sangat', 'membantu', 'untuk', 'menstrilkan', 'botol', 'susu', 'bayi']","['sangat', 'membantu', 'untuk', 'menstrilkan', 'botol', 'susu', 'bayi']"
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,terimakasih. . . . . ,terimakasih ,"['terimakasih', '']","['terimakasih', '']"
1 bulan lalu,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,"respon cs kurang memuaskan. . agak lama balasnya. . 
proses pemesanan jg harus tunggu waktu masuk kerja. . padahal balas chat ttp berjalan. . . kan bs y di accept dl. . kirim setela. . .  ",respon cs kurang memuaskan agak lama balasnya proses pemesanan jg harus tunggu waktu masuk kerja padahal balas chat ttp berjalan kan bs  di accept dl kirim setela ,"['respon', 'cs', 'kurang', 'memuaskan', 'agak', 'lama', 'balasnya', 'proses', 'pemesanan', 'jg', 'harus', 'tunggu', 'waktu', 'masuk', 'kerja', 'padahal', 'balas', 'chat', 'ttp', 'berjalan', 'kan', 'bs', '', 'di', 'accept', 'dl', 'kirim', 'setela', '']","['respon', 'cs', 'kurang', 'memuaskan', 'agak', 'lama', 'balasnya', 'proses', 'pemesanan', 'juga', 'harus', 'tunggu', 'waktu', 'masuk', 'kerja', 'padahal', 'balas', 'chat', 'tetap', 'berjalan', 'kan', 'bisa', '', 'di', 'accept', 'dulu', 'kirim', 'setela', '']"
1 bulan lalu,Sanken HWD-Z96 Water Dispenser Duo gallon,mantab,mantab,['mantab'],['mantab']
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,luar biasa pelayanannya,luar biasa pelayanannya,"['luar', 'biasa', 'pelayanannya']","['luar', 'biasa', 'pelayanannya']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,krn kurir toko.  jd aman.  tp lama bgt nunggu jadwalny,krn kurir toko jd aman tp lama bgt nunggu jadwalny,"['krn', 'kurir', 'toko', 'jd', 'aman', 'tp', 'lama', 'bgt', 'nunggu', 'jadwalny']","['karena', 'kurir', 'toko', 'jadi', 'aman', 'tapi', 'lama', 'banget', 'menunggu', 'jadwalny']"
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"mantap

bagus",mantap bagus,"['mantap', 'bagus']","['mantap', 'bagus']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,buat kado.  tmn ku seneng.  pengirimannya cpt krn pake instan dan aman. .  respon admin cukup baik aku nny2 sbar jawabnya.  terima kasih,buat kado tmn ku seneng pengirimannya cpt krn pake instan dan aman respon admin cukup baik aku nny sbar jawabnya terima kasih,"['buat', 'kado', 'tmn', 'ku', 'seneng', 'pengirimannya', 'cpt', 'krn', 'pake', 'instan', 'dan', 'aman', 'respon', 'admin', 'cukup', 'baik', 'aku', 'nny', 'sbar', 'jawabnya', 'terima', 'kasih']","['buat', 'kado', 'teman', 'ku', 'senang', 'pengirimannya', 'cepat', 'karena', 'pakai', 'instan', 'dan', 'aman', 'respon', 'admin', 'cukup', 'baik', 'aku', 'nny', 'sbar', 'jawabnya', 'terima', 'kasih']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,barangnya okay . . . cuma barangnya agak lama sampainya. ,barangnya okay cuma barangnya agak lama sampainya ,"['barangnya', 'okay', 'cuma', 'barangnya', 'agak', 'lama', 'sampainya', '']","['barangnya', 'okay', 'cuma', 'barangnya', 'agak', 'lama', 'sampainya', '']"
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,mantap,mantap,['mantap'],['mantap']
1 bulan lalu,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,oke,oke,['oke'],['oke']
1 bulan lalu,Sanken Microwave MO-200BK 20 Liter Hitam,piring kaca tidak dikemas dengan baik.  akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,piring kaca tidak dikemas dengan baik akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,"['piring', 'kaca', 'tidak', 'dikemas', 'dengan', 'baik', 'akibatnya', 'piring', 'microwave', 'pecah', 'dalam', 'pengiriman', 'lalu', 'kemudian', 'klaim', 'asuransi', 'lama', 'sekali', 'tidak', 'sesuai', 'jadwal']","['piring', 'kaca', 'tidak', 'dikemas', 'dengan', 'baik', 'akibatnya', 'piring', 'microwave', 'pecah', 'dalam', 'pengiriman', 'lalu', 'kemudian', 'klaim', 'asuransi', 'lama', 'sekali', 'tidak', 'sesuai', 'jadwal']"
1 bulan lalu,Sanken SJ-130H Magic Com 1L - Black,"sesuai pesanan,  diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus).  semoga kompor dan rice cooker sanken kualitasnya ok da. . .  ",sesuai pesanan diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan tak ada penyok di kardus semoga kompor dan rice cooker sanken kualitasnya ok da ,"['sesuai', 'pesanan', 'diantarkan', 'on', 'time', 'dan', 'dijaga', 'dengan', 'baik', 'oleh', 'kurir', 'toko', 'hingga', 'tujuan', 'tak', 'ada', 'penyok', 'di', 'kardus', 'semoga', 'kompor', 'dan', 'rice', 'cooker', 'sanken', 'kualitasnya', 'ok', 'da', '']","['sesuai', 'pesanan', 'diantarkan', 'on', 'time', 'dahn', 'dijaga', 'dengan', 'baik', 'oleh', 'kurir', 'toko', 'hingga', 'tujuan', 'tak', 'adah', 'penyok', 'di', 'kardus', 'semoga', 'kompor', 'dahn', 'rice', 'cooker', 'sanken', 'kualitasnya', 'ok', 'dah', '']"
1 bulan lalu,Sanken SG-363 Kompor Gas 2 Tungku Kaca Kompor Dua Tungku,"sesuai pesanan,  diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus).  semoga kompor dan rice cooker sanken kualitasnya ok da. . .  ",sesuai pesanan diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan tak ada penyok di kardus semoga kompor dan rice cooker sanken kualitasnya ok da ,"['sesuai', 'pesanan', 'diantarkan', 'on', 'time', 'dan', 'dijaga', 'dengan', 'baik', 'oleh', 'kurir', 'toko', 'hingga', 'tujuan', 'tak', 'ada', 'penyok', 'di', 'kardus', 'semoga', 'kompor', 'dan', 'rice', 'cooker', 'sanken', 'kualitasnya', 'ok', 'da', '']","['sesuai', 'pesanan', 'diantarkan', 'on', 'time', 'dahn', 'dijaga', 'dengan', 'baik', 'oleh', 'kurir', 'toko', 'hingga', 'tujuan', 'tak', 'adah', 'penyok', 'di', 'kardus', 'semoga', 'kompor', 'dahn', 'rice', 'cooker', 'sanken', 'kualitasnya', 'ok', 'dah', '']"
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,brg sesuai spek dan telah berfungsi dgn baik.  semoga awet. ,brg sesuai spek dan telah berfungsi dgn baik semoga awet ,"['brg', 'sesuai', 'spek', 'dan', 'telah', 'berfungsi', 'dgn', 'baik', 'semoga', 'awet', '']","['bareng', 'sesuai', 'spek', 'dan', 'telah', 'berfungsi', 'dengan', 'baik', 'semoga', 'awet', '']"
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,works just fine.  hisapan kuat.  mantap,works just fine hisapan kuat mantap,"['works', 'just', 'fine', 'hisapan', 'kuat', 'mantap']","['works', 'just', 'fine', 'hisapan', 'kuat', 'mantap']"
1 bulan lalu,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,"original brand nya sudah di coba dan berfungsi dengan baik.  sudah di coba,  sesuai dengan deskripsi nya",original brand nya sudah di coba dan berfungsi dengan baik sudah di coba sesuai dengan deskripsi nya,"['original', 'brand', 'nya', 'sudah', 'di', 'coba', 'dan', 'berfungsi', 'dengan', 'baik', 'sudah', 'di', 'coba', 'sesuai', 'dengan', 'deskripsi', 'nya']","['original', 'brand', 'nya', 'sudah', 'di', 'coba', 'dan', 'berfungsi', 'dengan', 'baik', 'sudah', 'di', 'coba', 'sesuai', 'dengan', 'deskripsi', 'nya']"
1 bulan lalu,Dispenser Sanken Galon Bawah DB-20G Dispenser Bottom Loading,engga tau qanya gimana sebelum di kirim.  tapi saat mau di pakai langsung bocor.  hubungin sales langsung di arahkan ke service center.  kasih bintang 3 karena service cente. . .  ,engga tau qanya gimana sebelum di kirim tapi saat mau di pakai langsung bocor hubungin sales langsung di arahkan ke service center kasih bintang karena service cente ,"['engga', 'tau', 'qanya', 'gimana', 'sebelum', 'di', 'kirim', 'tapi', 'saat', 'mau', 'di', 'pakai', 'langsung', 'bocor', 'hubungin', 'sales', 'langsung', 'di', 'arahkan', 'ke', 'service', 'center', 'kasih', 'bintang', 'karena', 'service', 'cente', '']","['enggak', 'tau', 'qanya', 'bagaimana', 'sebelum', 'di', 'kirim', 'tapi', 'saat', 'mau', 'di', 'pakai', 'langsung', 'bocor', 'hubungin', 'sales', 'langsung', 'di', 'arahkan', 'ke', 'service', 'center', 'kasih', 'bintang', 'karena', 'service', 'cente', '']"
1 bulan lalu,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,"barang baik,  pengiriman dan respon cepat.  mantab. . . ",barang baik pengiriman dan respon cepat mantab ,"['barang', 'baik', 'pengiriman', 'dan', 'respon', 'cepat', 'mantab', '']","['barang', 'baik', 'pengiriman', 'dan', 'respon', 'cepat', 'mantab', '']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,mantab,mantab,['mantab'],['mantab']
1 bulan lalu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,barang bagus,barang bagus,"['barang', 'bagus']","['barang', 'bagus']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,"alhamdulillaah barabg sdh sampe dgn aman,  masyaalloh tabarokalloh,  bagus,  mulus, tanpa lecet,  barang original sanken,  untuk tombol panas,  normal,  dingin semua berfungsi dg. . .  ",alhamdulillaah barabg sdh sampe dgn aman masyaalloh tabarokalloh bagus mulus tanpa lecet barang original sanken untuk tombol panas normal dingin semua berfungsi dg ,"['alhamdulillaah', 'barabg', 'sdh', 'sampe', 'dgn', 'aman', 'masyaalloh', 'tabarokalloh', 'bagus', 'mulus', 'tanpa', 'lecet', 'barang', 'original', 'sanken', 'untuk', 'tombol', 'panas', 'normal', 'dingin', 'semua', 'berfungsi', 'dg', '']","['alhamdulillaah', 'barabg', 'sudah', 'sampai', 'dengan', 'aman', 'masyaalloh', 'tabarokalloh', 'bagus', 'mulus', 'tanpa', 'lecet', 'barang', 'original', 'sanken', 'untuk', 'tombol', 'panas', 'normal', 'dingin', 'semua', 'berfungsi', 'dengan', '']"
1 bulan lalu,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,"sudah dicoba aman berfungsi
pengiriman cepat",sudah dicoba aman berfungsi pengiriman cepat,"['sudah', 'dicoba', 'aman', 'berfungsi', 'pengiriman', 'cepat']","['sudah', 'dicoba', 'aman', 'berfungsi', 'pengiriman', 'cepat']"
